country,sector,eval_year,density_k3,mean_weight_k3,n_edges_k3,density_k5,mean_weight_k5,n_edges_k5,density_k10,mean_weight_k10,n_edges_k10
NL,LZ,2018,0.10384615384615385,0.8507173895110101,81,0.16025641025641027,0.8035565614701338,125,0.308974358974359,0.6597145021864638,241
NL,LZ,2019,0.09230769230769231,0.8448819149831378,72,0.14871794871794872,0.7811533251076597,116,0.2833333333333333,0.653811837200099,221
NL,LZ,2020,0.06538461538461539,0.8503628883243086,51,0.12307692307692308,0.7869745615149087,96,0.26666666666666666,0.631195698707841,208
NL,LZ,2021,0.06666666666666667,0.8363107274170587,52,0.1294871794871795,0.7680621912950543,101,0.26666666666666666,0.6340475745514164,208
NL,LZ,2022,0.06666666666666667,0.8638809805250569,52,0.11794871794871795,0.8036977168634531,92,0.2833333333333333,0.6606515608514236,221
NL,LZ,2023,0.07051282051282051,0.8480023198095726,55,0.1358974358974359,0.7903473905165778,106,0.2923076923076923,0.7083182315595493,228
NL,LZ,2024,0.07051282051282051,0.8614996546036124,55,0.13205128205128205,0.8063582131342099,103,0.2858974358974359,0.7216052953018733,223
NL,LZ,2025,0.07179487179487179,0.8668401911808423,56,0.1294871794871795,0.8108426713666508,101,0.2858974358974359,0.7193998142946743,223
NL,LZ,2026,0.10128205128205128,0.8468734905984119,79,0.1641025641025641,0.8044378080520913,128,0.31794871794871793,0.7223481432532483,248
NL,MN,2012,0.10384615384615385,0.9742034265655326,81,0.1717948717948718,0.9631329627283041,134,0.3282051282051282,0.9394861819598894,256
NL,MN,2013,0.1076923076923077,0.9434038720071863,84,0.1782051282051282,0.9275645399285076,139,0.34487179487179487,0.8952997444300816,269
NL,MN,2014,0.1,0.9530716986008301,78,0.16923076923076924,0.9368345374205291,132,0.33205128205128204,0.9061895778455551,259
NL,MN,2015,0.1,0.9569607581751784,78,0.17307692307692307,0.938982885368651,135,0.3576923076923077,0.9076765793122242,279
NL,MN,2016,0.11153846153846154,0.8643281933486985,87,0.18461538461538463,0.8331066491124791,144,0.3628205128205128,0.7766406252956592,283
NL,MN,2017,0.1076923076923077,0.8275210412799655,84,0.1717948717948718,0.769346384024914,134,0.33076923076923076,0.6628667744453872,258
NL,MN,2018,0.1,0.8281008858645696,78,0.1564102564102564,0.7636421692161438,122,0.31025641025641026,0.6456031476185132,242
NL,MN,2019,0.10384615384615385,0.8384861885024939,81,0.1717948717948718,0.7966994329718545,134,0.3346153846153846,0.7148018538026307,261
NL,MN,2020,0.09871794871794871,0.8832881549669899,77,0.16538461538461538,0.8516691727541623,129,0.3243589743589744,0.7740919133975693,253
NL,MN,2021,0.10256410256410256,0.85469160907526,80,0.1717948717948718,0.7992120905102507,134,0.3371794871794872,0.7097546903733293,263
NL,MN,2022,0.11282051282051282,0.8307503255183878,88,0.18205128205128204,0.7850203624500232,142,0.35,0.7126757228052137,273
NL,MN,2023,0.10384615384615385,0.8350904680796918,81,0.17307692307692307,0.7904608916241014,135,0.3217948717948718,0.7129586701694142,251
NL,MN,2024,0.1064102564102564,0.866864388928104,83,0.17564102564102563,0.8369763778851307,137,0.3474358974358974,0.7752762618427242,271
NL,MN,2025,0.11025641025641025,0.9328449127870054,86,0.18076923076923077,0.9162454634668588,141,0.35512820512820514,0.8786188594256845,277
NL,MN,2026,0.11025641025641025,0.9400320150981544,86,0.18461538461538463,0.9226361697338936,144,0.36923076923076925,0.893453399199696,288
NL,OQ,2020,0.10128205128205128,0.9238766388693476,79,0.16538461538461538,0.8851469689252252,129,0.3269230769230769,0.787854055431729,255
NL,OQ,2021,0.10897435897435898,0.8833750353298379,85,0.17307692307692307,0.8486252467730654,135,0.3371794871794872,0.7613021885529373,263
NL,OQ,2022,0.1076923076923077,0.8789665705571537,84,0.17564102564102563,0.8517432111025723,137,0.3384615384615385,0.7924556451224114,264
NL,OQ,2023,0.11282051282051282,0.8533721469401729,88,0.18205128205128204,0.8194613976871173,142,0.34615384615384615,0.7610446133062658,270
NL,OQ,2024,0.11282051282051282,0.8778616633062536,88,0.18076923076923077,0.8472318916503482,141,0.3384615384615385,0.7708705681890443,264
NL,OQ,2025,0.1076923076923077,0.9448658223661197,84,0.1794871794871795,0.9261401184909358,140,0.358974358974359,0.8893622889681949,280
NL,OQ,2026,0.1141025641025641,0.9522258892219497,89,0.1858974358974359,0.9396122306750834,145,0.36666666666666664,0.9127924638705384,286
NL,RU,2012,0.10384615384615385,0.979691709810745,81,0.16666666666666666,0.9686943450627937,130,0.34615384615384615,0.9527794211107595,270
NL,RU,2013,0.1064102564102564,0.9542498964378837,83,0.1782051282051282,0.9414593032836999,139,0.3487179487179487,0.9186285952646389,272
NL,RU,2014,0.10256410256410256,0.9630541511404154,80,0.17692307692307693,0.9516567575324906,138,0.34487179487179487,0.9289790157474179,269
NL,RU,2015,0.10256410256410256,0.9147062004990832,80,0.17307692307692307,0.8840103170164747,135,0.3576923076923077,0.8230404352544493,279
NL,RU,2016,0.09743589743589744,0.8378449482500467,76,0.16025641025641027,0.783813088992179,125,0.31794871794871793,0.6720540655067978,248
NL,RU,2017,0.10384615384615385,0.8370472684940314,81,0.16923076923076924,0.8089968479652176,132,0.3346153846153846,0.722970913091575,261
NL,RU,2018,0.10256410256410256,0.8218595578594959,80,0.16153846153846155,0.768901277887363,126,0.31025641025641026,0.6608145508784468,242
NL,RU,2019,0.09871794871794871,0.8316268808535988,77,0.16538461538461538,0.7693472204873942,129,0.3153846153846154,0.6507943220294692,246
NL,RU,2020,0.09871794871794871,0.8246723543055942,77,0.1641025641025641,0.7678641226738402,128,0.308974358974359,0.6517497094693933,241
NL,RU,2021,0.10512820512820513,0.821315572487965,82,0.15512820512820513,0.7679409764843622,121,0.3,0.6341032198493523,234
NL,RU,2022,0.10256410256410256,0.8173585814421596,80,0.16794871794871793,0.7559621655768438,131,0.29102564102564105,0.6368033960597993,227
NL,RU,2023,0.1076923076923077,0.8569595657683977,84,0.17051282051282052,0.8137990091316845,133,0.3282051282051282,0.7248213046247896,256
NL,RU,2024,0.10128205128205128,0.8758519902296797,79,0.1641025641025641,0.8327824030054439,128,0.33974358974358976,0.7394484990797858,265
NL,RU,2025,0.10512820512820513,0.8932527635275902,82,0.18076923076923077,0.865882525546711,141,0.33974358974358976,0.8106683201179293,265
NL,RU,2026,0.11025641025641025,0.896167155300745,86,0.1782051282051282,0.8591301443409122,139,0.3576923076923077,0.7971356307958115,279
PT,BE,2013,0.16333333333333333,0.9476337873064777,49,0.28,0.9300349382520787,84,0.5233333333333333,0.8826389008871077,157
PT,BE,2014,0.15333333333333332,0.9352994448199619,46,0.26666666666666666,0.9148350658434332,80,0.5066666666666667,0.8648035383241721,152
PT,BE,2015,0.17333333333333334,0.9084028257059142,52,0.2633333333333333,0.8744662432570172,79,0.53,0.8059522657199705,159
PT,BE,2016,0.19,0.8763161306440235,57,0.27666666666666667,0.8437427692609809,83,0.5366666666666666,0.7595260708520305,161
PT,BE,2017,0.17333333333333334,0.8517346220780154,52,0.28,0.8289432954591711,84,0.51,0.7693021956474294,153
PT,BE,2018,0.17666666666666667,0.9068606515805983,53,0.28,0.8831210285908151,84,0.5366666666666666,0.8305306683878144,161
PT,BE,2019,0.17333333333333334,0.8688044183590508,52,0.29,0.8385817605409912,87,0.5466666666666666,0.7734473298005162,164
PT,BE,2020,0.17,0.8760634910288302,51,0.29333333333333333,0.851810544400572,88,0.55,0.778086206773839,165
PT,BE,2021,0.17,0.8843429684304062,51,0.29333333333333333,0.8594861964020428,88,0.55,0.7926007730223823,165
PT,BE,2022,0.16666666666666666,0.8943342313453087,50,0.25666666666666665,0.8673249250531923,77,0.49333333333333335,0.7975912747827715,148
PT,BE,2023,0.17,0.9014273870907789,51,0.25666666666666665,0.863263003557407,77,0.51,0.7467873125807766,153
PT,BE,2024,0.18,0.87087724759738,54,0.2733333333333333,0.834012581094838,82,0.5,0.7478988750511193,150
PT,BE,2025,0.17333333333333334,0.8573688364474863,52,0.2633333333333333,0.8292817190656023,79,0.5033333333333333,0.7450139877469899,151
PT,FZ,2013,0.17,0.8952424091902055,51,0.2633333333333333,0.8536159713312935,79,0.5266666666666666,0.761910050210307,158
PT,FZ,2014,0.17,0.9491322867881347,51,0.28,0.9331582906812953,84,0.5433333333333333,0.8951853135062454,163
PT,FZ,2015,0.16333333333333333,0.9130524604173077,49,0.2866666666666667,0.8842933652791806,86,0.54,0.8187706679442935,162
PT,FZ,2016,0.17,0.9016687190050585,51,0.2966666666666667,0.8699598233768138,89,0.5433333333333333,0.8065580517604877,163
PT,FZ,2017,0.16,0.9286046573201056,48,0.2733333333333333,0.8944978506667348,82,0.54,0.8163280545223834,162
PT,FZ,2018,0.19333333333333333,0.8720227887473029,58,0.30666666666666664,0.833840896534888,92,0.55,0.7667218183792791,165
PT,FZ,2019,0.17333333333333334,0.8027455228104029,52,0.27666666666666667,0.7538920903451524,83,0.48333333333333334,0.6679212346422086,145
PT,FZ,2020,0.17,0.7809243149653261,51,0.25666666666666665,0.7292642352316179,77,0.47,0.5969305023329169,141
PT,FZ,2021,0.17333333333333334,0.8258566370529239,52,0.28,0.7829365025510401,84,0.49,0.6950113873167983,147
