ZE2020,year,stock
4415,2023,5060.0
4416,2017,3135.0
4416,2018,3098.0
4416,2019,3145.0
4416,2020,3118.0
4416,2021,3200.0
4416,2022,7204.0
4416,2023,7469.0
4417,2017,2585.0
4417,2018,2573.0
4417,2019,2612.0
4417,2020,2603.0
4417,2021,2693.0
4417,2022,6452.0
4417,2023,6581.0
4418,2017,2430.0
4418,2018,2440.0
4418,2019,2462.0
4418,2020,2472.0
4418,2021,2513.0
4418,2022,6006.0
4418,2023,6083.0
4419,2017,3583.0
4419,2018,3535.0
4419,2019,3623.0
4419,2020,3590.0
4419,2021,3662.0
4419,2022,7629.0
4419,2023,7745.0
4420,2017,3545.0
4420,2018,3490.0
4420,2019,3562.0
4420,2020,3517.0
4420,2021,3564.0
4420,2022,7771.0
4420,2023,7907.0
4421,2017,2799.0
4421,2018,2794.0
4421,2019,2796.0
4421,2020,2776.0
4421,2021,2838.0
4421,2022,5201.0
4421,2023,5280.0
4422,2017,3245.0
4422,2018,3235.0
4422,2019,3327.0
4422,2020,3337.0
4422,2021,3414.0
4422,2022,8029.0
4422,2023,8071.0
4423,2017,24946.0
4423,2018,24932.0
4423,2019,25755.0
4423,2020,25926.0
4423,2021,26747.0
4423,2022,70800.0
4423,2023,71672.0
4424,2017,6551.0
4424,2018,6513.0
4424,2019,6640.0
4424,2020,6643.0
4424,2021,6768.0
4424,2022,15670.0
4424,2023,16210.0
4425,2017,8994.0
4425,2018,8924.0
4425,2019,9140.0
4425,2020,9088.0
4425,2021,9329.0
4425,2022,18962.0
4425,2023,19059.0
4426,2017,2349.0
4426,2018,2315.0
4426,2019,2414.0
4426,2020,2396.0
4426,2021,2422.0
4426,2022,4604.0
4426,2023,4694.0
4427,2017,3388.0
4427,2018,3364.0
4427,2019,3368.0
4427,2020,3359.0
4427,2021,3389.0
4427,2022,6565.0
4427,2023,6691.0
5201,2017,2538.0
5201,2018,2791.0
5201,2019,2878.0
5201,2020,2901.0
5201,2021,2973.0
5201,2022,7161.0
5201,2023,8386.0
5202,2017,11409.0
5202,2018,11696.0
5202,2019,12085.0
5202,2020,12209.0
5202,2021,12705.0
5202,2022,32880.0
5202,2023,33857.0
5203,2017,5879.0
5203,2018,5871.0
5203,2019,6033.0
5203,2020,6023.0
5203,2021,6277.0
5203,2022,15034.0
5203,2023,15247.0
5204,2017,1078.0
5204,2018,1360.0
5204,2019,1363.0
5204,2020,1373.0
5204,2021,1443.0
5204,2022,2933.0
5204,2023,3019.0
5205,2017,1708.0
5205,2018,1743.0
5205,2019,1771.0
5205,2020,1786.0
5205,2021,1812.0
5205,2022,3802.0
5205,2023,3859.0
5206,2017,5866.0
5206,2018,5851.0
5206,2019,5998.0
5206,2020,6007.0
5206,2021,6203.0
5206,2022,13909.0
5206,2023,14060.0
5207,2017,3685.0
5207,2018,3708.0
5207,2019,3867.0
5207,2020,3879.0
5207,2021,4019.0
5207,2022,8830.0
5207,2023,8954.0
5208,2017,1994.0
5208,2018,1984.0
5208,2019,2031.0
5208,2020,1992.0
5208,2021,2027.0
5208,2022,3930.0
5208,2023,3880.0
5209,2017,1670.0
5209,2018,1674.0
5209,2019,1739.0
5209,2020,1710.0
5209,2021,1755.0
5209,2022,3719.0
5209,2023,3748.0
5210,2017,5277.0
5210,2018,5281.0
5210,2019,5512.0
5210,2020,5577.0
5210,2021,5752.0
5210,2022,13879.0
5210,2023,14168.0
5211,2017,5259.0
5211,2018,5232.0
5211,2019,5493.0
5211,2020,5562.0
5211,2021,5674.0
5211,2022,12015.0
5211,2023,12531.0
5212,2017,9874.0
