codgeo,ze2020,jobs_lt_2022_total
45338,2409,2949.99231
41276,2401,1309.16795
37043,2413,117.93005
33077,7505,275.32211
53096,5211,2835.72054
31224,7622,701.00518
33236,7505,3047.6854
31187,7625,2362.71952
27343,2817,90.922
14534,2814,307.93911
21545,2709,242.49585
21247,2709,335.53786
29210,5310,968.70423
21634,2704,59.76409
25468,2706,71.54649
50532,2810,1532.90687
25082,2714,114.9806
26139,8427,434.96487
59557,3222,709.28513
35352,5315,5174.21541
27396,2817,92.27923
27448,2808,2549.71322
38298,8433,1785.07621
68149,4418,3298.86927
78350,1114,2301.68871
49381,5206,475.86049
69298,8421,1211.53116
41175,2414,153.47786
53078,5204,122.16304
41253,2401,263.82605
33414,7516,126.68696
38332,8435,939.43542
40021,7510,172.87794
40075,7510,2205.88676
38144,8421,604.95124
42323,8428,3564.49393
42053,8428,396.42025
43132,8419,461.73801
13065,0052,636.37073
08211,4421,90.61874
13118,9301,656.11371
01450,8405,698.21895
84133,9301,1370.12124
02398,3221,37.64796
11302,7608,42.58641
10067,4425,1202.83827
03280,8423,27.62495
03023,8432,3077.04273
13056,9313,20656.72171
90058,2705,260.22028
90017,2705,1413.51745
29079,5310,172.78893
29189,5302,3394.79306
36091,2405,469.37138
14342,2816,2084.88902
16160,7509,132.63321
15021,8403,107.39693
70145,2706,72.86351
16186,7509,330.44591
56164,5318,1835.2778
38563,8435,11659.30233
59017,3216,9966.8624
83073,9303,4187.71953
59360,3216,8607.34448
92024,1109,36959.08845
76212,2815,2813.68066
91363,1113,3666.89544
38249,8409,7419.56825
91207,1113,1250.67666
79079,7506,3443.1395
34227,7616,224.31496
50186,2805,33.55256
38503,8409,438.94979
42204,8428,1048.58419
35057,5315,259.04695
37059,2413,207.16605
35294,0062,679.94034
33097,7515,566.53716
73105,8407,481.74175
37270,2413,605.33943
69006,8430,2025.01318
27440,2817,175.35056
2A104,9401,119.60322
31476,7622,271.13461
16383,7502,173.43475
31481,7625,325.54331
82072,7609,1843.28044
76758,2819,6992.79322
71081,2707,1071.59019
76591,2815,955.03236
28084,2403,56.32283
30255,7618,622.65298
30028,7605,10377.90521
02294,3214,196.60304
26072,8431,158.63631
77183,1107,2801.16511
53251,5221,67.09628
39286,2716,840.51346
17274,7512,8477.20451
