ZE2020,year,sitadel_surface_autorisee,sitadel_surface_commencee
2410,2022,152581.0,119169.0
2410,2023,262134.0,202115.0
2410,2024,148889.0,0.0
2411,2013,15362.0,20160.0
2411,2014,6750.0,21532.0
2411,2015,13608.0,22126.0
2411,2016,13434.0,3908.0
2411,2017,93238.0,12998.0
2411,2018,11797.0,11312.0
2411,2019,238114.0,93701.0
2411,2020,9584.0,47035.0
2411,2021,7366.0,40936.0
2411,2022,29685.0,14593.0
2411,2023,17971.0,21547.0
2411,2024,22047.0,0.0
2412,2013,34304.0,59302.0
2412,2014,10956.0,32078.0
2412,2015,11278.0,12919.0
2412,2016,9476.0,58138.0
2412,2017,16895.0,38570.0
2412,2018,17212.0,28154.0
2412,2019,81439.0,18945.0
2412,2020,13943.0,30601.0
2412,2021,17037.0,80770.0
2412,2022,36695.0,29434.0
2412,2023,157907.0,16637.0
2412,2024,27761.0,0.0
2413,2013,41403.0,166846.0
2413,2014,77793.0,101407.0
2413,2015,35133.0,118617.0
2413,2016,44276.0,147780.0
2413,2017,35771.0,176877.0
2413,2018,32090.0,157044.0
2413,2019,57771.0,178440.0
2413,2020,52116.0,184213.0
2413,2021,91302.0,108383.0
2413,2022,190636.0,272803.0
2413,2023,85193.0,365668.0
2413,2024,224904.0,0.0
2414,2013,8228.0,29517.0
2414,2014,7467.0,15969.0
2414,2015,16496.0,15930.0
2414,2016,20754.0,18078.0
2414,2017,12585.0,25440.0
2414,2018,5690.0,24663.0
2414,2019,6093.0,20752.0
2414,2020,16361.0,19956.0
2414,2021,9229.0,25786.0
2414,2022,11519.0,15080.0
2414,2023,29934.0,10670.0
2414,2024,13299.0,0.0
2415,2013,3210.0,7544.0
2415,2014,2094.0,7864.0
2415,2015,1195.0,6721.0
2415,2016,3912.0,5787.0
2415,2017,1481.0,8626.0
2415,2018,6179.0,9927.0
2415,2019,2152.0,17931.0
2415,2020,2092.0,6922.0
2415,2021,3917.0,19306.0
2415,2022,4590.0,11712.0
2415,2023,94854.0,9690.0
2415,2024,6200.0,0.0
2701,2013,2196.0,20898.0
2701,2014,4297.0,11437.0
2701,2015,11442.0,5147.0
2701,2016,4118.0,19940.0
2701,2017,11454.0,9791.0
2701,2018,2264.0,19456.0
2701,2019,6459.0,4964.0
2701,2020,8047.0,10993.0
2701,2021,4111.0,7982.0
2701,2022,6652.0,4671.0
2701,2023,3270.0,3935.0
2701,2024,2639.0,0.0
2702,2013,34801.0,71012.0
2702,2014,17997.0,69377.0
2702,2015,22143.0,79664.0
2702,2016,113408.0,43283.0
2702,2017,29215.0,45599.0
2702,2018,24590.0,46321.0
2702,2019,39435.0,54310.0
2702,2020,16517.0,38097.0
2702,2021,24894.0,31540.0
2702,2022,31842.0,21426.0
2702,2023,121346.0,28833.0
2702,2024,43629.0,0.0
2703,2013,32428.0,18370.0
2703,2014,8860.0,12476.0
2703,2015,7019.0,10245.0
2703,2016,13396.0,22788.0
2703,2017,12071.0,19952.0
2703,2018,20998.0,17196.0
2703,2019,9855.0,14761.0
2703,2020,7427.0,13317.0
2703,2021,8385.0,4745.0
2703,2022,9199.0,10741.0
2703,2023,89727.0,3627.0
2703,2024,10035.0,0.0
2704,2013,21987.0,34627.0
2704,2014,28681.0,49054.0
2704,2015,7532.0,37040.0
2704,2016,19235.0,49759.0
2704,2017,17551.0,32103.0
2704,2018,16260.0,35658.0
2704,2019,28789.0,41612.0
2704,2020,13231.0,44329.0
2704,2021,13948.0,47683.0
2704,2022,22054.0,48454.0
2704,2023,31500.0,35313.0
2704,2024,63839.0,0.0
2705,2013,27809.0,52608.0
2705,2014,11937.0,37779.0
2705,2015,11169.0,51628.0
2705,2016,25352.0,58070.0
2705,2017,18909.0,74784.0
2705,2018,19736.0,31256.0
2705,2019,29614.0,54780.0
2705,2020,87425.0,44146.0
2705,2021,36216.0,55283.0
2705,2022,11007.0,63825.0
2705,2023,98499.0,71220.0
2705,2024,28979.0,0.0
2706,2013,33347.0,106253.0
2706,2014,70791.0,120659.0
2706,2015,32344.0,119803.0
2706,2016,45369.0,111799.0
2706,2017,37211.0,130312.0
2706,2018,31508.0,121345.0
2706,2019,29508.0,128570.0
2706,2020,49012.0,135724.0
2706,2021,65120.0,212956.0
2706,2022,70924.0,114602.0
2706,2023,57984.0,87405.0
2706,2024,78568.0,0.0
2707,2013,12040.0,58789.0
2707,2014,8874.0,41905.0
2707,2015,14412.0,57805.0
2707,2016,10074.0,28053.0
2707,2017,85645.0,176509.0
2707,2018,6821.0,90978.0
2707,2019,21446.0,94035.0
2707,2020,9899.0,66319.0
2707,2021,11162.0,83210.0
2707,2022,22761.0,65687.0
2707,2023,49880.0,72401.0
2707,2024,77891.0,0.0
2708,2013,9598.0,60454.0
2708,2014,14139.0,65748.0
2708,2015,8159.0,54230.0
2708,2016,7652.0,48491.0
2708,2017,10923.0,55375.0
2708,2018,12232.0,42827.0
2708,2019,19591.0,33109.0
2708,2020,13351.0,44519.0
2708,2021,17337.0,16056.0
2708,2022,12827.0,27054.0
2708,2023,23836.0,15461.0
2708,2024,12984.0,0.0
2709,2013,22318.0,27489.0
2709,2014,25972.0,59542.0
2709,2015,18951.0,33894.0
2709,2016,12464.0,43997.0
2709,2017,21461.0,27736.0
2709,2018,30306.0,38736.0
2709,2019,9708.0,55307.0
2709,2020,8692.0,28981.0
2709,2021,10953.0,19827.0
2709,2022,14554.0,4935.0
2709,2023,9371.0,15688.0
2709,2024,10506.0,0.0
2710,2013,5645.0,42184.0
2710,2014,11826.0,27778.0
2710,2015,1918.0,35810.0
2710,2016,6670.0,29236.0
2710,2017,1647.0,150697.0
2710,2018,5649.0,22971.0
