codgeo,ze2020,side_stocks_et_2023_total
06122,9315,599
06056,9315,13
05178,9310,48
06005,9315,12
06044,9315,1176
06120,9315,327
06055,9315,6
06151,9315,78
06064,9315,467
06099,9315,158
34230,7614,6
06096,9315,3
34165,7623,261
34185,7616,37
06007,9304,411
06143,9315,72
06081,9315,10
06133,9315,8
06013,9315,55
06140,9304,468
06006,9315,273
06121,9315,313
06125,9315,12
06069,9304,6253
06045,9315,6
06112,9304,577
06128,9315,764
06039,9315,83
06058,9304,85
06010,9304,360
06033,9315,1623
06135,9315,13
06079,9304,3669
06149,9315,872
06083,9314,3714
06115,9315,10
06065,9315,905
06104,9314,1394
06074,9315,92
06003,9304,70
06043,9315,63
06146,9315,19
06009,9315,2
05183,9302,115
06062,9314,16
06026,9304,226
06134,9304,67
06094,9315,155
06091,9314,175
06027,9315,6796
06022,9315,51
06113,9314,77
06114,9315,471
06093,9315,20
06137,9304,188
06150,9314,337
06148,9315,672
06088,9315,49692
06019,9315,171
06038,9304,564
06002,9304,4
06118,9304,604
06145,9315,7
06063,9304,1
06136,9314,336
06105,9304,1024
05181,9302,64
06001,9315,8
06147,9315,444
06131,9315,2
06070,9304,104
06047,9315,6
06098,9315,11
06011,9315,742
05184,9310,25
06024,9304,8
06124,9315,3
06138,9304,318
06095,9304,997
06037,9304,44
06014,9315,80
05176,9310,21
06077,9315,88
06103,9315,180
06090,9304,964
06020,9315,53
06053,9315,6
06106,9315,55
06068,9304,64
06054,9315,464
06051,9315,1
06071,9315,96
06025,9315,212
06102,9315,12
06057,9315,233
06036,9314,46
06089,9304,409
06085,9304,4168
06117,9315,112
06061,9315,6
06060,9315,226
02096,3214,11
06116,9304,15
06087,9304,0
06127,9315,196
02112,3220,29
06126,9315,292
06078,9315,29
06052,9315,9
06016,9315,63
06021,9315,70
06100,9315,18
05182,9310,4
02035,3220,19
06111,9315,8
06080,9315,6
06067,9314,106
06082,9315,18
06029,9304,13275
06139,9315,2
06023,9314,174
06092,9315,106
06119,9307,24
05177,9302,277
02069,3214,5
06008,9315,2
06040,9315,4
06144,9315,26
06142,9315,23
06101,9315,12
06015,9315,128
06075,9315,516
06076,9315,3
06132,9314,31
06041,9304,53
02123,3220,25
02170,3220,5
06123,9315,4478
02166,3209,20
02153,3214,22
06073,9315,242
02127,3209,13
05180,9302,66
02101,3214,12
06110,9315,23
02028,3214,108
02029,3220,6
06086,9314,20
06141,9315,36
02179,3221,16
02156,3214,11
02135,3217,44
02043,3221,1
06107,9315,10
02136,3217,6
02137,3209,9
06028,9304,54
02098,3209,16
02163,3209,178
06018,9304,1987
02120,3221,4
02159,3221,8
02111,3214,16
02168,3209,1151
02154,3221,20
02081,3220,13
02086,3220,39
02064,3221,137
02175,3221,6
