codgeo,ze2020,libze2020,population_2022_total
32389,7604,Auch,442
02039,3214,Laon,175
62195,3205,Béthune,1578
24126,7504,Bergerac,279
07298,8402,Aubenas,855
05117,9310,Gap,109
78238,1114,Seine-Yvelinoise,2436
15036,0063,Ussel,457
18143,0060,Nevers,357
16013,7502,Angoulême,296
34213,7623,Sète,6540
01206,8425,Oyonnax,265
06013,9315,Nice,595
24264,7523,Périgueux,1911
40260,7510,Dax,410
36001,2405,Châteauroux,1329
16040,7509,Cognac,321
03279,8423,Montluçon,553
17429,7525,Rochefort,3935
37161,2413,Tours,815
27090,2815,Rouen,3855
27286,2803,Bernay,382
18267,2402,Bourges,4034
41235,2414,Vendôme,956
60442,0054,Beauvais,135
76252,0058,La Vallée de la Bresle-Vimeu,1071
80699,3201,Abbeville,116
31564,7622,Saint-Gaudens,150
10235,4425,Troyes,56
70164,2718,Vesoul,67
80099,3202,Amiens,215
61405,0061,Nogent-le-Rotrou,486
64056,7522,Pau,136
58074,2708,Charolais,353
38500,8435,Voiron,599
08377,4421,Sedan,151
23182,7511,Guéret,163
67174,4409,Haguenau,1109
