ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
3214,106518.0,106831.0,107049.0,107469.0,107625.0,107957.0,107589.0,107387.0,107319.0,107275.0,106931.0,106471.0,105989.0,105368.0,104902.0,104551.0,104372.0,104242.0
3215,390218.0,390059.0,389039.0,388652.0,388229.0,388813.0,387286.0,386474.0,387989.0,389051.0,388835.0,388987.0,389583.0,389909.0,391020.0,391443.0,390806.0,390015.0
3216,885552.0,886692.0,886985.0,893227.0,898698.0,899239.0,904512.0,910785.0,915742.0,915344.0,918008.0,922278.0,925577.0,929011.0,933517.0,938450.0,944572.0,948456.0
3217,257405.0,257080.0,256317.0,256380.0,254733.0,254529.0,254214.0,253476.0,253055.0,252225.0,250530.0,249256.0,247961.0,247029.0,246039.0,244325.0,242992.0,241440.0
3218,400936.0,399421.0,398248.0,397820.0,397315.0,398848.0,401332.0,404889.0,405786.0,408639.0,409344.0,408812.0,409894.0,411972.0,411405.0,412827.0,413993.0,412354.0
3219,166786.0,167573.0,168927.0,169856.0,170101.0,170434.0,171142.0,171825.0,172487.0,172903.0,172993.0,172987.0,172251.0,172290.0,172401.0,172250.0,172004.0,172040.0
3220,260962.0,260773.0,260818.0,260142.0,260237.0,260321.0,260032.0,258991.0,258583.0,257664.0,255719.0,254176.0,253395.0,252253.0,250551.0,249617.0,248554.0,247400.0
3221,161917.0,162389.0,162740.0,164001.0,164914.0,165527.0,166002.0,167205.0,167328.0,167732.0,167845.0,168202.0,167854.0,167870.0,167430.0,166833.0,166743.0,166304.0
3222,386701.0,387230.0,388480.0,388772.0,389660.0,390155.0,390290.0,390251.0,391864.0,392768.0,392267.0,392344.0,392706.0,392340.0,391607.0,391671.0,391127.0,390894.0
4401,73541.0,73437.0,73069.0,72973.0,72601.0,72310.0,71926.0,71957.0,71227.0,70797.0,69955.0,69178.0,68381.0,67919.0,67445.0,67030.0,66470.0,66054.0
4402,109244.0,109098.0,109698.0,109951.0,109460.0,109797.0,110314.0,110356.0,110610.0,110830.0,110434.0,109939.0,109235.0,109289.0,109160.0,108467.0,107630.0,107144.0
4403,166581.0,165647.0,165079.0,164209.0,164299.0,164221.0,164175.0,162997.0,162160.0,160963.0,159411.0,158472.0,157466.0,156674.0,155888.0,155376.0,154183.0,153437.0
