ZE2020,year,month,sitadel_monthly_surface_autorisee,sitadel_monthly_surface_commencee
9405,2013,3,1447,201
9406,2013,3,2715,300
9407,2013,3,1180,103
0051,2013,4,11074,6468
0052,2013,4,123803,5013
0053,2013,4,1123,2318
0054,2013,4,9773,5618
0055,2013,4,4354,433
0056,2013,4,2157,1107
0057,2013,4,4964,4002
0058,2013,4,4267,668
0059,2013,4,2066,5825
0060,2013,4,11426,1290
0061,2013,4,1471,1677
0062,2013,4,3829,3800
0063,2013,4,30130,11518
0064,2013,4,711,6466
0101,2013,4,0,0
0102,2013,4,2716,50
0103,2013,4,29,0
0104,2013,4,4059,2982
0105,2013,4,184,78
0201,2013,4,336,0
0202,2013,4,7069,26916
0203,2013,4,0,0
0204,2013,4,0,0
0205,2013,4,1044,103
0206,2013,4,201,11042
0301,2013,4,11695,7528
0302,2013,4,430,0
0303,2013,4,133,0
0401,2013,4,1992,466
0402,2013,4,7219,223
0403,2013,4,690,958
0404,2013,4,9234,2914
0601,2013,4,0,0
1101,2013,4,32223,5447
1102,2013,4,19247,177
1103,2013,4,445,466
1104,2013,4,12382,9800
1105,2013,4,11437,2261
1106,2013,4,12283,8857
1107,2013,4,4855,1647
1108,2013,4,3611,230
1109,2013,4,68582,79014
1110,2013,4,3625,0
1111,2013,4,2321,18664
1112,2013,4,18023,29545
1113,2013,4,47758,15329
1114,2013,4,11965,28142
1115,2013,4,6801,12406
2401,2013,4,8513,973
2402,2013,4,12514,2143
2403,2013,4,4398,2795
2404,2013,4,2034,1571
2405,2013,4,11231,4656
2406,2013,4,3037,2826
2407,2013,4,3132,280
2408,2013,4,7983,2029
2409,2013,4,20100,1563
2410,2013,4,8015,8128
2411,2013,4,3380,10219
2412,2013,4,2263,2462
2413,2013,4,36197,15107
2414,2013,4,2808,1474
2415,2013,4,3247,262
2701,2013,4,5800,528
2702,2013,4,5385,4594
2703,2013,4,4067,420
2704,2013,4,19797,1055
2705,2013,4,9809,16424
2706,2013,4,12893,5460
2707,2013,4,1951,1494
2708,2013,4,4751,2219
2709,2013,4,1930,1198
2710,2013,4,3333,2940
2711,2013,4,16841,13706
2712,2013,4,8694,4750
2713,2013,4,4803,8277
2714,2013,4,7496,289
2715,2013,4,8856,4828
2716,2013,4,792,686
2717,2013,4,3970,909
2718,2013,4,2852,2478
2801,2013,4,3422,200
2802,2013,4,11894,6856
2803,2013,4,2175,2893
2804,2013,4,42971,13650
2805,2013,4,3546,3539
2806,2013,4,5176,6009
2807,2013,4,8506,4991
2808,2013,4,11574,2976
2809,2013,4,13509,6073
2810,2013,4,5960,2437
