codgeo,ze2020,bpe_facilities_2023_total
02236,3221,10.0
02237,3214,70.0
02238,3214,51.0
02239,3209,43.0
02240,3220,3.0
02241,3209,6.0
02242,3209,13.0
02243,3221,77.0
02244,3220,2.0
02245,3221,56.0
02246,3220,13.0
02248,3214,3.0
02249,3221,2.0
02250,3214,1.0
02251,3214,1.0
02252,3214,3.0
02253,3221,8.0
02254,3221,2.0
02255,3221,2.0
02256,3214,2.0
02257,3220,9.0
02258,3221,13.0
02259,3221,9.0
02260,3220,4.0
02261,3214,10.0
02262,3220,6.0
02263,3221,1.0
02264,3214,38.0
02265,3214,1.0
02266,3214,1.0
02267,3221,9.0
02268,3209,16.0
02269,3217,2.0
02270,3220,1.0
02271,3209,3.0
02272,3221,2.0
02273,3220,2.0
02274,3214,4.0
02275,3217,5.0
02276,3220,1.0
02277,3221,6.0
02278,3217,3.0
02279,3209,17.0
02280,3209,6.0
02281,3209,8.0
02282,3214,12.0
02283,3214,6.0
02284,3217,2.0
02286,3217,16.0
02287,3220,37.0
02288,3220,12.0
02289,3209,6.0
02290,3209,79.0
02291,3220,9.0
02292,3209,42.0
02293,3220,13.0
02294,3214,8.0
02295,3217,36.0
02296,3220,35.0
02297,3209,3.0
02298,3220,48.0
02299,3214,12.0
02302,3221,16.0
02303,3220,85.0
02304,3220,161.0
02305,3209,137.0
02306,3214,17.0
02307,3221,81.0
02308,3217,14.0
02309,3214,16.0
02310,3220,4.0
02312,3217,33.0
02313,3220,8.0
02315,3220,49.0
02316,3221,4.0
02317,3220,5.0
02318,3221,39.0
02319,3220,14.0
02320,3220,5.0
02321,3217,37.0
02322,3220,10.0
02323,3220,3.0
02324,3217,5.0
02326,3221,17.0
02327,3220,7.0
02328,3209,10.0
02329,3214,12.0
02330,3220,15.0
02331,3217,3.0
02332,3209,6.0
02333,3214,4.0
02334,3220,89.0
02335,3214,2.0
02336,3220,18.0
02337,3217,2.0
02338,3214,6.0
02339,3209,24.0
02340,3220,153.0
02341,3217,3.0
02342,3217,3.0
02343,3220,2.0
02345,3220,1.0
02346,3214,13.0
02347,3209,11.0
02349,3214,2.0
02350,3214,3.0
02351,3209,1.0
02352,3220,14.0
02353,3214,7.0
02354,3214,5.0
02355,3220,22.0
02356,3209,8.0
02357,3217,2.0
02358,3220,7.0
02359,3220,20.0
02360,3214,98.0
02361,3220,240.0
02362,3220,7.0
02363,3221,16.0
02364,3214,4.0
02366,3220,4.0
02367,3220,2.0
02368,3221,13.0
02369,3217,4.0
02370,3220,22.0
02371,3220,48.0
02372,3221,15.0
02373,3217,4.0
02374,3220,22.0
02375,3209,6.0
02376,3220,1.0
02377,3220,2.0
02378,3217,6.0
02379,3220,8.0
02380,3220,1.0
02381,3217,284.0
02382,3220,44.0
02383,3220,36.0
02384,3217,1.0
02385,3220,1.0
02386,3220,6.0
02387,3220,28.0
02388,3214,7.0
02389,3209,40.0
02390,3220,2.0
02391,3217,2.0
02392,3220,8.0
02393,3221,6.0
02395,3221,3.0
02396,3214,2.0
02397,3220,33.0
02398,3221,5.0
02399,3214,14.0
02400,3221,4.0
02401,3217,5.0
02402,3220,2.0
02403,3220,3.0
02404,3217,3.0
02405,3217,13.0
02406,3221,3.0
02407,3214,2.0
02408,3214,942.0
02409,3214,5.0
02410,3221,5.0
02411,3209,7.0
02412,3209,3.0
02413,3214,6.0
02414,3220,5.0
02415,3221,7.0
02416,3217,9.0
02417,3220,3.0
02418,3217,6.0
02419,3217,4.0
02420,3220,23.0
02421,3221,1.0
02422,3220,10.0
02423,3221,11.0
02424,3221,2.0
02425,3217,4.0
02426,3220,14.0
02427,3221,2.0
02428,3209,3.0
02429,3214,3.0
02430,3214,51.0
02431,3220,7.0
02432,3221,8.0
02433,3214,12.0
02435,3217,1.0
02438,3221,14.0
02439,3221,38.0
02440,3214,4.0
02441,3221,2.0
02442,3209,2.0
02443,3209,9.0
02444,3214,4.0
02445,3217,8.0
02446,3220,2.0
02447,3221,2.0
