ZE2020,rei_cfe_commune_base,rei_cfe_commune_product,rei_cfe_commune_articles,rei_cfe_epci_base,rei_cfe_epci_product,rei_cfe_epci_articles,rei_cfe_microentrepreneurs,rei_cfe_microentrepreneurs_created_n_1,year
8418,31619657.0,8275928.0,6110.0,62354969.0,10422993.0,9729.0,4651.0,0.0,2018
8419,0.0,0.0,0.0,33902130.0,9316197.0,8019.0,3438.0,0.0,2018
8420,0.0,0.0,0.0,30677557.0,7900123.0,5102.0,1939.0,0.0,2018
8421,6640804.0,1478612.0,1561.0,1027138757.0,282667526.0,154603.0,77377.0,0.0,2018
8422,2092969.0,534434.0,159.0,85854327.0,21862724.0,7289.0,3553.0,0.0,2018
8423,0.0,0.0,0.0,36981254.0,11195924.0,6154.0,3275.0,0.0,2018
8424,0.0,0.0,0.0,24923071.0,7015388.0,5186.0,2591.0,0.0,2018
8425,0.0,0.0,0.0,41246409.0,9666973.0,3814.0,1463.0,0.0,2018
8426,253061.0,45666.0,79.0,51260619.0,14108384.0,8335.0,3900.0,0.0,2018
8427,0.0,0.0,0.0,36804160.0,9442748.0,6427.0,3114.0,0.0,2018
8428,0.0,0.0,0.0,200762012.0,56488560.0,33794.0,15214.0,0.0,2018
8429,0.0,0.0,0.0,10381686.0,3224932.0,2422.0,731.0,0.0,2018
8430,0.0,0.0,0.0,18044008.0,4522727.0,3327.0,1440.0,0.0,2018
8431,0.0,0.0,0.0,141356793.0,36593495.0,20578.0,10806.0,0.0,2018
8432,0.0,0.0,0.0,48502421.0,13656469.0,8867.0,4261.0,0.0,2018
8433,0.0,0.0,0.0,147124159.0,36212281.0,15607.0,7444.0,0.0,2018
8434,0.0,0.0,0.0,67021228.0,14917010.0,13170.0,6434.0,0.0,2018
8435,0.0,0.0,0.0,65822008.0,17335201.0,13550.0,7054.0,0.0,2018
9301,0.0,0.0,0.0,184919290.0,52850138.0,39940.0,19413.0,0.0,2018
9302,0.0,0.0,0.0,20407529.0,6253463.0,5712.0,2664.0,0.0,2018
9303,0.0,0.0,0.0,31471103.0,10373070.0,9894.0,6564.0,0.0,2018
9304,0.0,0.0,0.0,235464980.0,64675221.0,51856.0,26638.0,0.0,2018
9305,0.0,0.0,0.0,25359754.0,8775792.0,7421.0,4243.0,0.0,2018
9306,0.0,0.0,0.0,48979846.0,15671959.0,11442.0,6433.0,0.0,2018
9307,0.0,0.0,0.0,39916619.0,11820405.0,6137.0,2911.0,0.0,2018
9308,0.0,0.0,0.0,25752220.0,7231980.0,8666.0,5153.0,0.0,2018
9309,0.0,0.0,0.0,56374164.0,16039570.0,11207.0,4967.0,0.0,2018
9310,3662394.0,875899.0,1345.0,35574749.0,8611937.0,9700.0,4041.0,0.0,2018
