zone_id,target_year,a10,jobs
BE_roulers,2008,LZ,156.0
BE_roulers,2008,MN,6011.0
BE_roulers,2008,OPQ,16985.0
BE_roulers,2008,RSU,1174.0
BE_roulers,2009,A,512.0
BE_roulers,2009,BE,15281.0
BE_roulers,2009,FZ,4157.0
BE_roulers,2009,GI,10357.0
BE_roulers,2009,JZ,1365.0
BE_roulers,2009,KZ,1141.0
BE_roulers,2009,LZ,171.0
BE_roulers,2009,MN,5962.0
BE_roulers,2009,OPQ,17736.0
BE_roulers,2009,RSU,1148.0
BE_roulers,2010,A,606.0
BE_roulers,2010,BE,15077.0
BE_roulers,2010,FZ,4225.0
BE_roulers,2010,GI,10310.0
BE_roulers,2010,JZ,1266.0
BE_roulers,2010,KZ,1104.0
BE_roulers,2010,LZ,222.0
BE_roulers,2010,MN,7102.0
BE_roulers,2010,OPQ,17317.0
BE_roulers,2010,RSU,1199.0
BE_roulers,2011,A,624.0
BE_roulers,2011,BE,15152.0
BE_roulers,2011,FZ,4166.0
BE_roulers,2011,GI,10356.0
BE_roulers,2011,JZ,1265.0
BE_roulers,2011,KZ,1107.0
BE_roulers,2011,LZ,224.0
BE_roulers,2011,MN,7576.0
BE_roulers,2011,OPQ,17854.0
BE_roulers,2011,RSU,1192.0
BE_roulers,2012,A,616.0
BE_roulers,2012,BE,14802.0
BE_roulers,2012,FZ,4046.0
BE_roulers,2012,GI,10301.0
BE_roulers,2012,JZ,1229.0
BE_roulers,2012,KZ,1228.0
BE_roulers,2012,LZ,230.0
BE_roulers,2012,MN,8041.0
BE_roulers,2012,OPQ,17975.0
BE_roulers,2012,RSU,1220.0
BE_roulers,2013,A,633.0
BE_roulers,2013,BE,14193.0
BE_roulers,2013,FZ,4024.0
BE_roulers,2013,GI,10257.0
BE_roulers,2013,JZ,1080.0
BE_roulers,2013,KZ,1081.0
BE_roulers,2013,LZ,229.0
BE_roulers,2013,MN,7390.0
BE_roulers,2013,OPQ,17901.0
BE_roulers,2013,RSU,1277.0
BE_roulers,2014,A,598.0
BE_roulers,2014,BE,14159.0
BE_roulers,2014,FZ,4013.0
BE_roulers,2014,GI,10183.0
BE_roulers,2014,JZ,1061.0
BE_roulers,2014,KZ,1205.0
BE_roulers,2014,LZ,241.0
BE_roulers,2014,MN,9815.0
BE_roulers,2014,OPQ,17906.0
BE_roulers,2014,RSU,1284.0
BE_roulers,2015,A,619.0
BE_roulers,2015,BE,13724.0
BE_roulers,2015,FZ,3989.0
BE_roulers,2015,GI,10329.0
BE_roulers,2015,JZ,1318.0
BE_roulers,2015,KZ,1179.0
BE_roulers,2015,LZ,244.0
BE_roulers,2015,MN,10603.0
BE_roulers,2015,OPQ,18277.0
BE_roulers,2015,RSU,1250.0
BE_roulers,2016,A,676.0
BE_roulers,2016,BE,13926.0
BE_roulers,2016,FZ,4074.0
BE_roulers,2016,GI,10850.0
BE_roulers,2016,JZ,1296.0
BE_roulers,2016,KZ,1308.0
BE_roulers,2016,LZ,253.0
BE_roulers,2016,MN,10852.0
BE_roulers,2016,OPQ,18283.0
BE_roulers,2016,RSU,1269.0
BE_roulers,2017,A,693.0
BE_roulers,2017,BE,14269.0
BE_roulers,2017,FZ,4083.0
BE_roulers,2017,GI,10740.0
BE_roulers,2017,JZ,1242.0
BE_roulers,2017,KZ,1372.0
BE_roulers,2017,LZ,265.0
BE_roulers,2017,MN,11949.0
BE_roulers,2017,OPQ,18620.0
BE_roulers,2017,RSU,1149.0
BE_roulers,2018,A,725.0
BE_roulers,2018,BE,14333.0
BE_roulers,2018,FZ,4236.0
BE_roulers,2018,GI,11057.0
BE_roulers,2018,JZ,1134.0
BE_roulers,2018,KZ,1417.0
BE_roulers,2018,LZ,275.0
BE_roulers,2018,MN,12557.0
BE_roulers,2018,OPQ,18718.0
BE_roulers,2018,RSU,1110.0
BE_roulers,2019,A,748.0
BE_roulers,2019,BE,14336.0
