country,eval_year,exclude_covid,community_id,region_id,community_size,n_graph_edges,modularity
FR,2017,False,6,5203,34,915,0.3836643881447538
FR,2017,False,6,5212,34,915,0.3836643881447538
FR,2017,False,6,5214,34,915,0.3836643881447538
FR,2017,False,6,5304,34,915,0.3836643881447538
FR,2017,False,6,5317,34,915,0.3836643881447538
FR,2017,False,6,5318,34,915,0.3836643881447538
FR,2017,False,6,62,34,915,0.3836643881447538
FR,2017,False,6,64,34,915,0.3836643881447538
FR,2017,False,6,7510,34,915,0.3836643881447538
FR,2017,False,6,7511,34,915,0.3836643881447538
FR,2017,False,6,7516,34,915,0.3836643881447538
FR,2017,False,6,7518,34,915,0.3836643881447538
FR,2017,False,6,7522,34,915,0.3836643881447538
FR,2017,False,6,7612,34,915,0.3836643881447538
FR,2017,False,6,7622,34,915,0.3836643881447538
FR,2017,False,6,9302,34,915,0.3836643881447538
FR,2017,False,7,2406,29,915,0.3836643881447538
FR,2017,False,7,2407,29,915,0.3836643881447538
FR,2017,False,7,2704,29,915,0.3836643881447538
FR,2017,False,7,2705,29,915,0.3836643881447538
FR,2017,False,7,2708,29,915,0.3836643881447538
FR,2017,False,7,2808,29,915,0.3836643881447538
FR,2017,False,7,3207,29,915,0.3836643881447538
FR,2017,False,7,3208,29,915,0.3836643881447538
FR,2017,False,7,3218,29,915,0.3836643881447538
FR,2017,False,7,3221,29,915,0.3836643881447538
FR,2017,False,7,4409,29,915,0.3836643881447538
FR,2017,False,7,5208,29,915,0.3836643881447538
FR,2017,False,7,5313,29,915,0.3836643881447538
FR,2017,False,7,54,29,915,0.3836643881447538
FR,2017,False,7,59,29,915,0.3836643881447538
FR,2017,False,7,61,29,915,0.3836643881447538
FR,2017,False,7,7503,29,915,0.3836643881447538
FR,2017,False,7,7506,29,915,0.3836643881447538
FR,2017,False,7,7507,29,915,0.3836643881447538
FR,2017,False,7,7508,29,915,0.3836643881447538
FR,2017,False,7,7512,29,915,0.3836643881447538
FR,2017,False,7,7515,29,915,0.3836643881447538
FR,2017,False,7,7623,29,915,0.3836643881447538
FR,2017,False,7,8406,29,915,0.3836643881447538
FR,2017,False,7,8414,29,915,0.3836643881447538
FR,2017,False,7,8417,29,915,0.3836643881447538
FR,2017,False,7,8420,29,915,0.3836643881447538
FR,2017,False,7,8431,29,915,0.3836643881447538
FR,2017,False,7,9307,29,915,0.3836643881447538
FR,2017,False,8,2402,24,915,0.3836643881447538
FR,2017,False,8,2411,24,915,0.3836643881447538
FR,2017,False,8,2703,24,915,0.3836643881447538
FR,2017,False,8,2717,24,915,0.3836643881447538
FR,2017,False,8,2804,24,915,0.3836643881447538
FR,2017,False,8,2805,24,915,0.3836643881447538
FR,2017,False,8,3212,24,915,0.3836643881447538
FR,2017,False,8,3222,24,915,0.3836643881447538
FR,2017,False,8,4410,24,915,0.3836643881447538
FR,2017,False,8,4420,24,915,0.3836643881447538
FR,2017,False,8,5221,24,915,0.3836643881447538
FR,2017,False,8,5301,24,915,0.3836643881447538
FR,2017,False,8,5308,24,915,0.3836643881447538
FR,2017,False,8,5309,24,915,0.3836643881447538
