country,sector,eval_year,n_edges_topk5,density,w_mean,w_std,w_median
PT,FZ,2023,81,0.27,0.8204917245553454,0.12009727810392887,0.8266001416743968
PT,FZ,2024,79,0.2633333333333333,0.841874378691135,0.0978040989832749,0.8557738256043328
PT,FZ,2025,88,0.29333333333333333,0.8201276152617257,0.13862762031454504,0.8467257624279014
PT,GI,2013,82,0.2733333333333333,0.9471605792893327,0.05509846828286513,0.9676730440250341
PT,GI,2014,90,0.3,0.9538738571071065,0.03455005075383803,0.9605797971446592
PT,GI,2015,89,0.2966666666666667,0.9100611614903126,0.08281742481931598,0.9400848328927172
PT,GI,2016,89,0.2966666666666667,0.8992466135532041,0.11403564608538799,0.9348440433363036
PT,GI,2017,84,0.28,0.9352927986316537,0.06230104691593301,0.9531862687151996
PT,GI,2018,90,0.3,0.9260016388561635,0.06671051099686655,0.9477929154000673
PT,GI,2019,80,0.26666666666666666,0.8268444428252876,0.17492786540000718,0.8799065245689822
PT,GI,2020,74,0.24666666666666667,0.8385954965623885,0.12298450460244413,0.8747260463476333
PT,GI,2021,81,0.27,0.8716849333014093,0.07855602923004719,0.8735660200786746
PT,GI,2022,81,0.27,0.8698689833602611,0.08988449543243225,0.8830976393273079
PT,GI,2023,83,0.27666666666666667,0.8708265920850861,0.08044936038308703,0.8805922207991587
PT,GI,2024,80,0.26666666666666666,0.8984328699977606,0.06499167690733329,0.9189001117558457
PT,GI,2025,84,0.28,0.9027388438416485,0.06764528078425462,0.9227945132583929
PT,JZ,2013,81,0.27,0.8816653002757283,0.11409087862561496,0.9196720373153586
PT,JZ,2014,80,0.26666666666666666,0.8326553791884447,0.11184921578402034,0.8539669912762863
PT,JZ,2015,89,0.2966666666666667,0.7464359862844218,0.20100633852450092,0.7892334011316392
PT,JZ,2016,85,0.2833333333333333,0.7418769010706953,0.20315013976866825,0.8096397783292262
PT,JZ,2017,79,0.2633333333333333,0.7251856398677566,0.19564470678040582,0.7818499889100947
PT,JZ,2018,74,0.24666666666666667,0.6788737337647296,0.1914049495013274,0.7054485260379605
PT,JZ,2019,77,0.25666666666666665,0.6769027404939231,0.19022995886906816,0.7020693639057868
PT,JZ,2020,74,0.24666666666666667,0.6698074638794368,0.19179613684451124,0.6801879833241282
PT,JZ,2021,74,0.24666666666666667,0.6654121744634811,0.184784594366811,0.671023742621878
PT,JZ,2022,85,0.2833333333333333,0.8026507231755314,0.20025852466565708,0.9004759025648565
PT,JZ,2023,82,0.2733333333333333,0.8161960692279242,0.17852279805654966,0.8860593937578787
PT,JZ,2024,81,0.27,0.8355679531471696,0.16571752154963001,0.8919179627862887
PT,JZ,2025,79,0.2633333333333333,0.7910435351692926,0.2661742464444234,0.9003810733056847
PT,LZ,2013,84,0.28,0.7900379635296633,0.1832311181621842,0.8209674302552873
PT,LZ,2014,81,0.27,0.7138150815684133,0.1664546010068047,0.7402237083094484
PT,LZ,2015,78,0.26,0.658063325930423,0.19353259986003213,0.6771629218236501
PT,LZ,2016,76,0.25333333333333335,0.7266917049254978,0.15013624875329243,0.746011002692401
PT,LZ,2017,75,0.25,0.6874812400981115,0.154584619628477,0.7081018556532686
PT,LZ,2018,77,0.25666666666666665,0.6828479614563394,0.18255473421056617,0.7045436812133283
PT,LZ,2019,74,0.24666666666666667,0.6466596320717087,0.2111368743522712,0.6960426275528878
PT,LZ,2020,78,0.26,0.7203277098543636,0.16630586926373203,0.729186087461005
