package,model,split,group_type,group,rows,zones,mae,wmape,median_ape
controlled_hybrid,lags_plus_side_stocks,test,volatility_group,nan,3,3,106.00575643330967,3.0353848363074256,3.824644410775327
controlled_hybrid,lags_plus_side_stocks,train,size_group,large,207,69,822.9888220169854,7.448878687521413,9.203078867786713
controlled_hybrid,lags_plus_side_stocks,train,size_group,mid_high,204,68,202.45624080277648,9.1943822501311,9.10971201906359
controlled_hybrid,lags_plus_side_stocks,train,size_group,mid_low,210,70,110.61144859633374,8.848747340138315,8.180899305753265
controlled_hybrid,lags_plus_side_stocks,train,size_group,nan,9,3,229.81419822139753,7.604425839157976,9.591663574178554
controlled_hybrid,lags_plus_side_stocks,train,size_group,small,210,70,68.24881145504165,9.660454573711744,8.817677250843841
controlled_hybrid,lags_plus_side_stocks,train,volatility_group,high_vol,210,70,630.4323623855151,7.53803419572911,10.767645852065328
controlled_hybrid,lags_plus_side_stocks,train,volatility_group,low_vol,207,69,124.27921518035085,6.91802895191618,6.624128303284059
controlled_hybrid,lags_plus_side_stocks,train,volatility_group,mid_high_vol,204,68,232.44635909612407,9.01737852931454,9.313747848326063
controlled_hybrid,lags_plus_side_stocks,train,volatility_group,mid_low_vol,210,70,208.0226809198623,8.859766684413557,8.943030827850123
controlled_hybrid,lags_plus_side_stocks,train,volatility_group,nan,9,3,229.81419822139753,7.604425839157976,9.591663574178554
controlled_hybrid,lags_plus_side_stocks,validation,size_group,large,69,69,1321.9615134902967,11.546070747131749,2.734791302437633
controlled_hybrid,lags_plus_side_stocks,validation,size_group,mid_high,68,68,95.22587577350308,4.093044140854977,4.073813606264236
controlled_hybrid,lags_plus_side_stocks,validation,size_group,mid_low,70,70,94.51377027288277,7.109964234086095,6.669158124949195
controlled_hybrid,lags_plus_side_stocks,validation,size_group,nan,3,3,128.18230501032758,4.088315065181615,2.5936977582919396
controlled_hybrid,lags_plus_side_stocks,validation,size_group,small,70,70,76.77026768512194,10.095089019890924,10.277010720381472
controlled_hybrid,lags_plus_side_stocks,validation,volatility_group,high_vol,70,70,1211.0631999087589,13.909874230847743,4.2300665692067785
controlled_hybrid,lags_plus_side_stocks,validation,volatility_group,low_vol,69,69,104.81289001545274,5.5555388860377635,6.343776711000708
controlled_hybrid,lags_plus_side_stocks,validation,volatility_group,mid_high_vol,68,68,123.24584949919742,4.576126332830307,4.4830236742207905
controlled_hybrid,lags_plus_side_stocks,validation,volatility_group,mid_low_vol,70,70,132.76222099806026,5.411671637627072,5.527645149723535
controlled_hybrid,lags_plus_side_stocks,validation,volatility_group,nan,3,3,128.18230501032758,4.088315065181615,2.5936977582919396
controlled_hybrid,lags_plus_side_stocks_flores,test,size_group,large,69,69,941.5109165984588,7.45612562167158,4.416714052301337
controlled_hybrid,lags_plus_side_stocks_flores,test,size_group,mid_high,68,68,100.478595865173,3.89682924147452,3.7162417823343405
controlled_hybrid,lags_plus_side_stocks_flores,test,size_group,mid_low,70,70,59.55617344736555,4.076956013647696,3.1803202631366467
controlled_hybrid,lags_plus_side_stocks_flores,test,size_group,nan,3,3,151.21090147518484,4.329795785296883,5.1918964192402095
controlled_hybrid,lags_plus_side_stocks_flores,test,size_group,small,70,70,41.42029433460926,4.8539678292110695,3.466158995164963
controlled_hybrid,lags_plus_side_stocks_flores,test,volatility_group,high_vol,70,70,821.9682838780013,8.555193067477726,4.510857542475216
controlled_hybrid,lags_plus_side_stocks_flores,test,volatility_group,low_vol,69,69,90.33183632268123,4.313363625600341,3.6874373520971853
