zone_id,target_year,a10,births
PT_16B,2024,KZ,0.0
PT_16B,2024,LZ,242.0
PT_16B,2024,MN,2843.0
PT_16B,2024,OPQ,775.0
PT_16B,2024,RSU,713.0
PT_16D,2008,A,148.0
PT_16D,2008,BE,276.0
PT_16D,2008,FZ,494.0
PT_16D,2008,GI,1407.0
PT_16D,2008,JZ,82.0
PT_16D,2008,KZ,0.0
PT_16D,2008,LZ,78.0
PT_16D,2008,MN,2109.0
PT_16D,2008,OPQ,727.0
PT_16D,2008,RSU,366.0
PT_16D,2009,A,126.0
PT_16D,2009,BE,224.0
PT_16D,2009,FZ,384.0
PT_16D,2009,GI,1282.0
PT_16D,2009,JZ,46.0
PT_16D,2009,KZ,0.0
PT_16D,2009,LZ,60.0
PT_16D,2009,MN,1678.0
PT_16D,2009,OPQ,793.0
PT_16D,2009,RSU,302.0
PT_16D,2010,A,98.0
PT_16D,2010,BE,200.0
PT_16D,2010,FZ,353.0
PT_16D,2010,GI,1168.0
PT_16D,2010,JZ,50.0
PT_16D,2010,KZ,0.0
PT_16D,2010,LZ,54.0
PT_16D,2010,MN,1647.0
PT_16D,2010,OPQ,685.0
PT_16D,2010,RSU,303.0
PT_16D,2011,A,173.0
PT_16D,2011,BE,225.0
PT_16D,2011,FZ,334.0
PT_16D,2011,GI,1280.0
PT_16D,2011,JZ,58.0
PT_16D,2011,KZ,0.0
PT_16D,2011,LZ,62.0
PT_16D,2011,MN,1466.0
PT_16D,2011,OPQ,570.0
PT_16D,2011,RSU,342.0
PT_16D,2012,A,219.0
PT_16D,2012,BE,246.0
PT_16D,2012,FZ,248.0
PT_16D,2012,GI,1205.0
PT_16D,2012,JZ,75.0
PT_16D,2012,KZ,0.0
PT_16D,2012,LZ,49.0
PT_16D,2012,MN,1399.0
PT_16D,2012,OPQ,519.0
PT_16D,2012,RSU,308.0
PT_16D,2013,A,1885.0
PT_16D,2013,BE,392.0
PT_16D,2013,FZ,409.0
PT_16D,2013,GI,1537.0
PT_16D,2013,JZ,54.0
PT_16D,2013,KZ,0.0
PT_16D,2013,LZ,58.0
PT_16D,2013,MN,1640.0
PT_16D,2013,OPQ,608.0
PT_16D,2013,RSU,360.0
PT_16D,2014,A,877.0
PT_16D,2014,BE,349.0
PT_16D,2014,FZ,342.0
PT_16D,2014,GI,1432.0
PT_16D,2014,JZ,73.0
PT_16D,2014,KZ,0.0
PT_16D,2014,LZ,72.0
PT_16D,2014,MN,1690.0
PT_16D,2014,OPQ,591.0
PT_16D,2014,RSU,342.0
PT_16D,2015,A,469.0
PT_16D,2015,BE,395.0
PT_16D,2015,FZ,387.0
PT_16D,2015,GI,1486.0
PT_16D,2015,JZ,93.0
PT_16D,2015,KZ,0.0
PT_16D,2015,LZ,90.0
PT_16D,2015,MN,2011.0
PT_16D,2015,OPQ,705.0
PT_16D,2015,RSU,405.0
PT_16D,2016,A,435.0
PT_16D,2016,BE,617.0
PT_16D,2016,FZ,380.0
PT_16D,2016,GI,1331.0
PT_16D,2016,JZ,93.0
PT_16D,2016,KZ,0.0
PT_16D,2016,LZ,96.0
PT_16D,2016,MN,1900.0
PT_16D,2016,OPQ,669.0
PT_16D,2016,RSU,431.0
PT_16D,2017,A,409.0
PT_16D,2017,BE,333.0
PT_16D,2017,FZ,418.0
PT_16D,2017,GI,1342.0
PT_16D,2017,JZ,80.0
PT_16D,2017,KZ,0.0
PT_16D,2017,LZ,128.0
PT_16D,2017,MN,1958.0
PT_16D,2017,OPQ,697.0
PT_16D,2017,RSU,410.0
PT_16D,2018,A,443.0
PT_16D,2018,BE,344.0
PT_16D,2018,FZ,395.0
PT_16D,2018,GI,1236.0
PT_16D,2018,JZ,111.0
PT_16D,2018,KZ,0.0
PT_16D,2018,LZ,184.0
PT_16D,2018,MN,1888.0
PT_16D,2018,OPQ,728.0
PT_16D,2018,RSU,381.0
PT_16D,2019,A,292.0
PT_16D,2019,BE,289.0
PT_16D,2019,FZ,372.0
PT_16D,2019,GI,1358.0
PT_16D,2019,JZ,132.0
PT_16D,2019,KZ,0.0
PT_16D,2019,LZ,175.0
PT_16D,2019,MN,1897.0
PT_16D,2019,OPQ,743.0
PT_16D,2019,RSU,439.0
PT_16D,2020,A,247.0
PT_16D,2020,BE,210.0
PT_16D,2020,FZ,352.0
PT_16D,2020,GI,1156.0
PT_16D,2020,JZ,119.0
PT_16D,2020,KZ,0.0
PT_16D,2020,LZ,158.0
PT_16D,2020,MN,1610.0
PT_16D,2020,OPQ,708.0
PT_16D,2020,RSU,329.0
PT_16D,2021,A,286.0
PT_16D,2021,BE,297.0
PT_16D,2021,FZ,400.0
PT_16D,2021,GI,1158.0
PT_16D,2021,JZ,144.0
PT_16D,2021,KZ,0.0
PT_16D,2021,LZ,209.0
PT_16D,2021,MN,2034.0
PT_16D,2021,OPQ,839.0
PT_16D,2021,RSU,389.0
PT_16D,2022,A,249.0
PT_16D,2022,BE,373.0
PT_16D,2022,FZ,443.0
PT_16D,2022,GI,1292.0
PT_16D,2022,JZ,168.0
PT_16D,2022,KZ,0.0
PT_16D,2022,LZ,215.0
PT_16D,2022,MN,2569.0
PT_16D,2022,OPQ,965.0
PT_16D,2022,RSU,581.0
PT_16D,2023,A,271.0
PT_16D,2023,BE,373.0
PT_16D,2023,FZ,529.0
PT_16D,2023,GI,1539.0
PT_16D,2023,JZ,172.0
PT_16D,2023,KZ,0.0
PT_16D,2023,LZ,199.0
PT_16D,2023,MN,2781.0
PT_16D,2023,OPQ,834.0
PT_16D,2023,RSU,636.0
PT_16D,2024,A,265.0
PT_16D,2024,BE,318.0
PT_16D,2024,FZ,515.0
PT_16D,2024,GI,1550.0
PT_16D,2024,JZ,197.0
PT_16D,2024,KZ,0.0
PT_16D,2024,LZ,195.0
PT_16D,2024,MN,2771.0
PT_16D,2024,OPQ,849.0
PT_16D,2024,RSU,672.0
PT_16E,2008,A,156.0
PT_16E,2008,BE,214.0
PT_16E,2008,FZ,578.0
PT_16E,2008,GI,1678.0
PT_16E,2008,JZ,95.0
PT_16E,2008,KZ,0.0
PT_16E,2008,LZ,92.0
PT_16E,2008,MN,2649.0
PT_16E,2008,OPQ,1225.0
PT_16E,2008,RSU,456.0
PT_16E,2009,A,114.0
PT_16E,2009,BE,175.0
PT_16E,2009,FZ,380.0
PT_16E,2009,GI,1396.0
PT_16E,2009,JZ,77.0
PT_16E,2009,KZ,0.0
PT_16E,2009,LZ,68.0
PT_16E,2009,MN,2121.0
PT_16E,2009,OPQ,1373.0
PT_16E,2009,RSU,363.0
PT_16E,2010,A,121.0
PT_16E,2010,BE,148.0
PT_16E,2010,FZ,392.0
PT_16E,2010,GI,1258.0
PT_16E,2010,JZ,50.0
PT_16E,2010,KZ,0.0
PT_16E,2010,LZ,113.0
PT_16E,2010,MN,2060.0
PT_16E,2010,OPQ,1083.0
PT_16E,2010,RSU,352.0
PT_16E,2011,A,242.0
PT_16E,2011,BE,183.0
PT_16E,2011,FZ,352.0
PT_16E,2011,GI,1384.0
PT_16E,2011,JZ,82.0
PT_16E,2011,KZ,0.0
PT_16E,2011,LZ,66.0
PT_16E,2011,MN,2060.0
PT_16E,2011,OPQ,1052.0
PT_16E,2011,RSU,405.0
PT_16E,2012,A,258.0
PT_16E,2012,BE,195.0
PT_16E,2012,FZ,312.0
PT_16E,2012,GI,1296.0
PT_16E,2012,JZ,83.0
PT_16E,2012,KZ,0.0
PT_16E,2012,LZ,73.0
PT_16E,2012,MN,1904.0
PT_16E,2012,OPQ,868.0
PT_16E,2012,RSU,346.0
PT_16E,2013,A,2888.0
PT_16E,2013,BE,312.0
PT_16E,2013,FZ,474.0
PT_16E,2013,GI,1698.0
PT_16E,2013,JZ,91.0
PT_16E,2013,KZ,0.0
PT_16E,2013,LZ,90.0
PT_16E,2013,MN,1942.0
PT_16E,2013,OPQ,1013.0
PT_16E,2013,RSU,445.0
PT_16E,2014,A,1363.0
PT_16E,2014,BE,337.0
PT_16E,2014,FZ,523.0
PT_16E,2014,GI,1704.0
PT_16E,2014,JZ,77.0
PT_16E,2014,KZ,0.0
PT_16E,2014,LZ,105.0
PT_16E,2014,MN,2142.0
PT_16E,2014,OPQ,1093.0
PT_16E,2014,RSU,500.0
PT_16E,2015,A,842.0
PT_16E,2015,BE,333.0
PT_16E,2015,FZ,540.0
PT_16E,2015,GI,1799.0
PT_16E,2015,JZ,97.0
PT_16E,2015,KZ,0.0
PT_16E,2015,LZ,119.0
PT_16E,2015,MN,2352.0
PT_16E,2015,OPQ,1188.0
PT_16E,2015,RSU,557.0
PT_16E,2016,A,668.0
PT_16E,2016,BE,541.0
PT_16E,2016,FZ,482.0
PT_16E,2016,GI,1553.0
PT_16E,2016,JZ,108.0
PT_16E,2016,KZ,0.0
