country,nuts3_id,year,nace_r2,enterprise_births,active_enterprises,enterprise_deaths,employment
FR,FR106,2021,R_S_X_S94,1641.0,8670.0,1304.0,9553.0
FR,FR106,2022,B-E,514.0,3623.0,484.0,86358.0
FR,FR106,2022,B-S_X_O_S94,21119.0,112906.0,18307.0,686901.0
FR,FR106,2022,F,2952.0,16682.0,2692.0,51889.0
FR,FR106,2022,G,2341.0,16642.0,2315.0,72016.0
FR,FR106,2022,H,3392.0,17157.0,4044.0,202985.0
FR,FR106,2022,I,824.0,5354.0,695.0,25531.0
FR,FR106,2022,J,1465.0,6697.0,1019.0,23587.0
FR,FR106,2022,K_L,855.0,4848.0,466.0,14048.0
FR,FR106,2022,M_N,5108.0,20537.0,3852.0,162136.0
FR,FR106,2022,P_Q,1879.0,11641.0,1337.0,37981.0
FR,FR106,2022,R_S_X_S94,1789.0,9725.0,1403.0,10370.0
FR,FR106,2023,B-E,564.0,3672.0,388.0,87436.0
FR,FR106,2023,B-S_X_O_S94,22165.0,115479.0,15999.0,682434.0
FR,FR106,2023,F,3129.0,17115.0,1878.0,52328.0
FR,FR106,2023,G,2510.0,16673.0,1842.0,71211.0
FR,FR106,2023,H,3635.0,16798.0,3340.0,203748.0
FR,FR106,2023,I,776.0,5196.0,489.0,27217.0
FR,FR106,2023,J,1687.0,7317.0,1137.0,22848.0
FR,FR106,2023,K_L,823.0,4897.0,591.0,13393.0
FR,FR106,2023,M_N,5388.0,21846.0,3514.0,155332.0
FR,FR106,2023,P_Q,1905.0,11968.0,1524.0,38482.0
FR,FR106,2023,R_S_X_S94,1748.0,9997.0,1296.0,10438.0
FR,FR107,2020,B-E,,,286.0,
FR,FR107,2020,B-S_X_O_S94,,,11237.0,
FR,FR107,2020,F,,,899.0,
FR,FR107,2020,G,,,1441.0,
FR,FR107,2020,H,,,2049.0,
FR,FR107,2020,I,,,395.0,
FR,FR107,2020,J,,,830.0,
FR,FR107,2020,K_L,,,470.0,
FR,FR107,2020,M_N,,,2823.0,
FR,FR107,2020,P_Q,,,1162.0,
FR,FR107,2020,R_S_X_S94,,,882.0,
FR,FR107,2021,B-E,395.0,3077.0,347.0,50821.0
FR,FR107,2021,B-S_X_O_S94,19053.0,98777.0,14500.0,380806.0
FR,FR107,2021,F,1465.0,10305.0,1167.0,38715.0
FR,FR107,2021,G,2130.0,12591.0,1744.0,124579.0
FR,FR107,2021,H,3087.0,10808.0,2877.0,16164.0
FR,FR107,2021,I,480.0,4017.0,393.0,18882.0
FR,FR107,2021,J,1578.0,7206.0,1201.0,20406.0
FR,FR107,2021,K_L,1056.0,6283.0,591.0,14559.0
FR,FR107,2021,M_N,5194.0,22146.0,3761.0,57046.0
FR,FR107,2021,P_Q,2138.0,13470.0,1316.0,26191.0
FR,FR107,2021,R_S_X_S94,1530.0,8874.0,1103.0,13443.0
FR,FR107,2022,B-E,401.0,3121.0,304.0,45069.0
FR,FR107,2022,B-S_X_O_S94,18036.0,104145.0,14214.0,410800.0
FR,FR107,2022,F,1427.0,10635.0,1233.0,41360.0
FR,FR107,2022,G,1742.0,12856.0,1646.0,145560.0
FR,FR107,2022,H,1941.0,10060.0,2275.0,16336.0
FR,FR107,2022,I,658.0,4426.0,461.0,19356.0
FR,FR107,2022,J,1587.0,7724.0,1082.0,21529.0
FR,FR107,2022,K_L,1166.0,7156.0,560.0,16112.0
FR,FR107,2022,M_N,5302.0,23894.0,3831.0,59637.0
FR,FR107,2022,P_Q,2100.0,14424.0,1480.0,27685.0
FR,FR107,2022,R_S_X_S94,1712.0,9849.0,1342.0,18157.0
FR,FR107,2023,B-E,456.0,3260.0,352.0,47081.0
FR,FR107,2023,B-S_X_O_S94,17982.0,106188.0,13680.0,378677.0
FR,FR107,2023,F,1406.0,10703.0,1074.0,40147.0
FR,FR107,2023,G,1749.0,12796.0,1426.0,103132.0
FR,FR107,2023,H,2041.0,9802.0,1780.0,16020.0
FR,FR107,2023,I,459.0,4252.0,307.0,20167.0
FR,FR107,2023,J,1711.0,8264.0,1174.0,30750.0
FR,FR107,2023,K_L,1109.0,7380.0,751.0,15649.0
FR,FR107,2023,M_N,5198.0,24914.0,3866.0,60596.0
FR,FR107,2023,P_Q,2158.0,14813.0,1751.0,27361.0
FR,FR107,2023,R_S_X_S94,1695.0,10004.0,1199.0,17773.0
FR,FR108,2020,B-E,,,241.0,
FR,FR108,2020,B-S_X_O_S94,,,8580.0,
FR,FR108,2020,F,,,959.0,
FR,FR108,2020,G,,,1237.0,
FR,FR108,2020,H,,,1726.0,
FR,FR108,2020,I,,,292.0,
FR,FR108,2020,J,,,524.0,
FR,FR108,2020,K_L,,,392.0,
FR,FR108,2020,M_N,,,1774.0,
FR,FR108,2020,P_Q,,,816.0,
FR,FR108,2020,R_S_X_S94,,,619.0,
FR,FR108,2021,B-E,450.0,3039.0,336.0,28697.0
FR,FR108,2021,B-S_X_O_S94,15451.0,78193.0,11785.0,267644.0
FR,FR108,2021,F,1651.0,10351.0,1282.0,50516.0
FR,FR108,2021,G,1852.0,11061.0,1590.0,54258.0
FR,FR108,2021,H,2936.0,10479.0,2649.0,23851.0
FR,FR108,2021,I,373.0,2969.0,291.0,12441.0
FR,FR108,2021,J,1059.0,4542.0,720.0,17752.0
FR,FR108,2021,K_L,893.0,4847.0,561.0,5752.0
FR,FR108,2021,M_N,3429.0,14367.0,2455.0,49506.0
FR,FR108,2021,P_Q,1524.0,10228.0,1019.0,17113.0
FR,FR108,2021,R_S_X_S94,1284.0,6310.0,882.0,7758.0
FR,FR108,2022,B-E,412.0,3156.0,321.0,35619.0
FR,FR108,2022,B-S_X_O_S94,14455.0,82375.0,11212.0,286925.0
FR,FR108,2022,F,1584.0,10718.0,1261.0,51617.0
FR,FR108,2022,G,1592.0,11210.0,1383.0,55181.0
FR,FR108,2022,H,1891.0,10038.0,2025.0,25238.0
FR,FR108,2022,I,501.0,3215.0,320.0,13714.0
FR,FR108,2022,J,1074.0,5021.0,775.0,18279.0
FR,FR108,2022,K_L,926.0,5456.0,577.0,5637.0
FR,FR108,2022,M_N,3485.0,15519.0,2496.0,54811.0
FR,FR108,2022,P_Q,1582.0,10970.0,1114.0,18633.0
FR,FR108,2022,R_S_X_S94,1408.0,7072.0,940.0,8197.0
FR,FR108,2023,B-E,424.0,3211.0,376.0,27792.0
FR,FR108,2023,B-S_X_O_S94,14503.0,84666.0,10929.0,287258.0
FR,FR108,2023,F,1555.0,10995.0,1022.0,55895.0
FR,FR108,2023,G,1665.0,11404.0,1240.0,56874.0
FR,FR108,2023,H,2058.0,10045.0,1814.0,26259.0
FR,FR108,2023,I,404.0,3197.0,247.0,14254.0
FR,FR108,2023,J,1207.0,5481.0,827.0,18425.0
FR,FR108,2023,K_L,823.0,5486.0,624.0,5265.0
FR,FR108,2023,M_N,3494.0,16269.0,2434.0,54877.0
FR,FR108,2023,P_Q,1592.0,11277.0,1405.0,19077.0
FR,FR108,2023,R_S_X_S94,1281.0,7301.0,940.0,8541.0
FR,FRB01,2020,B-E,,,81.0,
FR,FRB01,2020,B-S_X_O_S94,,,1177.0,
FR,FRB01,2020,F,,,141.0,
FR,FRB01,2020,G,,,278.0,
FR,FRB01,2020,H,,,48.0,
FR,FRB01,2020,I,,,87.0,
FR,FRB01,2020,J,,,29.0,
FR,FRB01,2020,K_L,,,76.0,
FR,FRB01,2020,M_N,,,143.0,
FR,FRB01,2020,P_Q,,,136.0,
FR,FRB01,2020,R_S_X_S94,,,158.0,
FR,FRB01,2021,B-E,205.0,1550.0,129.0,9031.0
FR,FRB01,2021,B-S_X_O_S94,2212.0,15622.0,1541.0,46096.0
FR,FRB01,2021,F,242.0,2126.0,195.0,5818.0
FR,FRB01,2021,G,438.0,2979.0,318.0,9429.0
FR,FRB01,2021,H,157.0,478.0,131.0,1823.0
FR,FRB01,2021,I,92.0,1025.0,84.0,3641.0
FR,FRB01,2021,J,82.0,321.0,53.0,625.0
FR,FRB01,2021,K_L,143.0,1313.0,104.0,3629.0
FR,FRB01,2021,M_N,369.0,2066.0,209.0,6061.0
FR,FRB01,2021,P_Q,223.0,2044.0,134.0,4110.0
FR,FRB01,2021,R_S_X_S94,261.0,1720.0,184.0,1931.0
FR,FRB01,2022,B-E,195.0,1646.0,130.0,8774.0
FR,FRB01,2022,B-S_X_O_S94,2125.0,17012.0,1562.0,47172.0
FR,FRB01,2022,F,209.0,2208.0,201.0,5870.0
FR,FRB01,2022,G,324.0,3053.0,297.0,9671.0
FR,FRB01,2022,H,92.0,440.0,75.0,1564.0
FR,FRB01,2022,I,120.0,1044.0,103.0,3886.0
FR,FRB01,2022,J,76.0,359.0,51.0,668.0
FR,FRB01,2022,K_L,180.0,1760.0,86.0,3810.0
FR,FRB01,2022,M_N,420.0,2352.0,246.0,6429.0
FR,FRB01,2022,P_Q,216.0,2194.0,188.0,4351.0
FR,FRB01,2022,R_S_X_S94,293.0,1956.0,185.0,2151.0
FR,FRB01,2023,B-E,201.0,1684.0,149.0,8611.0
FR,FRB01,2023,B-S_X_O_S94,2083.0,16983.0,1671.0,46951.0
FR,FRB01,2023,F,220.0,2230.0,187.0,5774.0
FR,FRB01,2023,G,339.0,3057.0,278.0,9560.0
FR,FRB01,2023,H,78.0,427.0,78.0,1485.0
FR,FRB01,2023,I,114.0,1012.0,75.0,3932.0
FR,FRB01,2023,J,72.0,374.0,51.0,713.0
FR,FRB01,2023,K_L,138.0,1456.0,134.0,3859.0
FR,FRB01,2023,M_N,437.0,2531.0,293.0,6528.0
FR,FRB01,2023,P_Q,201.0,2191.0,218.0,4334.0
FR,FRB01,2023,R_S_X_S94,283.0,2021.0,208.0,2156.0
FR,FRB02,2020,B-E,,,113.0,
FR,FRB02,2020,B-S_X_O_S94,,,1822.0,
FR,FRB02,2020,F,,,229.0,
FR,FRB02,2020,G,,,377.0,
FR,FRB02,2020,H,,,77.0,
FR,FRB02,2020,I,,,90.0,
FR,FRB02,2020,J,,,86.0,
FR,FRB02,2020,K_L,,,101.0,
FR,FRB02,2020,M_N,,,354.0,
FR,FRB02,2020,P_Q,,,197.0,
FR,FRB02,2020,R_S_X_S94,,,198.0,
FR,FRB02,2021,B-E,234.0,1634.0,139.0,18562.0
FR,FRB02,2021,B-S_X_O_S94,3495.0,22585.0,2353.0,74324.0
FR,FRB02,2021,F,396.0,3223.0,292.0,9940.0
FR,FRB02,2021,G,530.0,3870.0,475.0,15300.0
FR,FRB02,2021,H,216.0,843.0,165.0,2929.0
FR,FRB02,2021,I,139.0,1154.0,74.0,3441.0
FR,FRB02,2021,J,134.0,714.0,107.0,900.0
FR,FRB02,2021,K_L,345.0,1929.0,195.0,4536.0
FR,FRB02,2021,M_N,724.0,3783.0,464.0,10012.0
FR,FRB02,2021,P_Q,355.0,2978.0,205.0,5654.0
FR,FRB02,2021,R_S_X_S94,422.0,2457.0,237.0,3049.0
FR,FRB02,2022,B-E,218.0,1753.0,160.0,19188.0
FR,FRB02,2022,B-S_X_O_S94,3277.0,24387.0,2518.0,77045.0
FR,FRB02,2022,F,372.0,3391.0,293.0,10391.0
FR,FRB02,2022,G,476.0,3978.0,469.0,15189.0
FR,FRB02,2022,H,133.0,833.0,133.0,2934.0
FR,FRB02,2022,I,137.0,1226.0,134.0,3722.0
FR,FRB02,2022,J,145.0,792.0,116.0,1079.0
FR,FRB02,2022,K_L,331.0,2364.0,162.0,4536.0
FR,FRB02,2022,M_N,708.0,4133.0,470.0,10866.0
FR,FRB02,2022,P_Q,330.0,3181.0,250.0,5793.0
FR,FRB02,2022,R_S_X_S94,427.0,2736.0,331.0,3347.0
FR,FRB02,2023,B-E,264.0,1830.0,168.0,22088.0
FR,FRB02,2023,B-S_X_O_S94,3490.0,24899.0,2513.0,81463.0
FR,FRB02,2023,F,370.0,3460.0,311.0,10351.0
FR,FRB02,2023,G,481.0,3944.0,368.0,15045.0
FR,FRB02,2023,H,176.0,866.0,132.0,3036.0
FR,FRB02,2023,I,124.0,1189.0,88.0,3808.0
FR,FRB02,2023,J,156.0,849.0,119.0,1037.0
FR,FRB02,2023,K_L,344.0,2256.0,207.0,4579.0
FR,FRB02,2023,M_N,778.0,4422.0,508.0,10322.0
FR,FRB02,2023,P_Q,358.0,3265.0,348.0,7762.0
FR,FRB02,2023,R_S_X_S94,439.0,2818.0,264.0,3434.0
FR,FRB03,2020,B-E,,,56.0,
FR,FRB03,2020,B-S_X_O_S94,,,843.0,
FR,FRB03,2020,F,,,98.0,
FR,FRB03,2020,G,,,167.0,
FR,FRB03,2020,H,,,37.0,
FR,FRB03,2020,I,,,55.0,
FR,FRB03,2020,J,,,23.0,
FR,FRB03,2020,K_L,,,52.0,
FR,FRB03,2020,M_N,,,125.0,
FR,FRB03,2020,P_Q,,,119.0,
