decision_year,family,src_ZE2020,src_sector,dst_ZE2020,dst_sector,weight
2019,analogy,8426,BE,8427,BE,0.022483654359533235
2019,analogy,8426,BE,4427,BE,0.022331237953830085
2019,analogy,8426,BE,2801,BE,0.022313418190903534
2019,analogy,8433,BE,7503,BE,0.02231278743172559
2019,analogy,8433,BE,3218,BE,0.022305961321510744
2019,analogy,8433,BE,7602,BE,0.022073609340870357
2019,analogy,8433,BE,4405,BE,0.021921528999732588
2019,analogy,8433,BE,1114,BE,0.021824027259762905
2019,analogy,8433,BE,8404,BE,0.021743357994364707
2019,analogy,8433,BE,3207,BE,0.021674545483016946
2019,analogy,8433,BE,8417,BE,0.02141408118840978
2019,analogy,8433,BE,7505,BE,0.021375845860109717
2019,analogy,8433,BE,4414,BE,0.021350025525910785
2019,analogy,9305,BE,2412,BE,0.022349368634594254
2019,analogy,9305,BE,4409,BE,0.02223279498790329
2019,analogy,9305,BE,57,BE,0.022197080232832567
2019,analogy,9305,BE,9308,BE,0.022192798264778674
2019,analogy,9305,BE,9318,BE,0.02209098110823071
2019,analogy,9305,BE,9304,BE,0.021913774117839763
2019,analogy,9305,BE,8428,BE,0.021880875075573705
2019,analogy,9305,BE,8418,BE,0.021797117985606167
2019,analogy,9305,BE,3208,BE,0.021471822448859177
2019,analogy,9305,BE,1105,BE,0.021394925634602862
2019,analogy,9312,BE,4417,BE,0.02270197616815736
2019,analogy,9312,BE,7605,BE,0.02260915203356461
2019,analogy,9312,BE,7524,BE,0.02259196023921662
2019,analogy,9312,BE,4410,BE,0.022566429449907142
2019,analogy,9312,BE,3214,BE,0.02250293157123263
2019,analogy,9312,BE,8410,BE,0.022460904699584377
2019,analogy,9312,BE,2705,BE,0.022344308047298346
2019,analogy,9312,BE,2710,BE,0.0222361373638278
2019,analogy,9312,BE,5315,BE,0.022188835817710435
2019,analogy,9312,BE,2702,BE,0.022107295499150966
2019,analogy,51,FZ,7603,FZ,0.02340614289960041
2019,analogy,51,FZ,2412,FZ,0.0231884073123685
2019,analogy,51,FZ,4404,FZ,0.023134944769261274
2019,analogy,51,FZ,7508,FZ,0.02312114043462956
2019,analogy,51,FZ,2702,FZ,0.022612662165030422
2019,analogy,51,FZ,3220,FZ,0.022494543746516174
2019,analogy,51,FZ,5217,FZ,0.021966838061411326
2019,analogy,51,FZ,5305,FZ,0.021771404839624788
2019,analogy,51,FZ,2715,FZ,0.021745072402911746
2019,analogy,51,FZ,7621,FZ,0.021614129854672138
2019,analogy,58,FZ,7619,FZ,0.02374931500355236
2019,analogy,58,FZ,7501,FZ,0.02372410602954546
2019,analogy,58,FZ,5313,FZ,0.023278851190572186
2019,analogy,58,FZ,52,FZ,0.023170933896524266
2019,analogy,58,FZ,2716,FZ,0.02300553310006686
2019,analogy,58,FZ,5306,FZ,0.022766273825503766
2019,analogy,58,FZ,2713,FZ,0.022391359664928615
2019,analogy,58,FZ,9305,FZ,0.022325704375537478
2019,analogy,58,FZ,2810,FZ,0.02206927952189009
2019,analogy,58,FZ,9302,FZ,0.0219601766708558
2019,analogy,1101,FZ,7518,FZ,0.021010531460284587
2019,analogy,1101,FZ,8404,FZ,0.020976879093111044
2019,analogy,1101,FZ,2802,FZ,0.02090052984639678
2019,analogy,1101,FZ,4402,FZ,0.020894032213613925
2019,analogy,1101,FZ,8405,FZ,0.020875956902493737
2019,analogy,1101,FZ,7517,FZ,0.02086529494822278
2019,analogy,1101,FZ,4407,FZ,0.020862769169898546
2019,analogy,1101,FZ,3213,FZ,0.020850383030263358
2019,analogy,1101,FZ,7615,FZ,0.02077889852203439
2019,analogy,1101,FZ,53,FZ,0.020764719514729836
2019,analogy,1108,FZ,3204,FZ,0.021043523872983996
2019,analogy,1108,FZ,2710,FZ,0.02104114784454991
2019,analogy,1108,FZ,7616,FZ,0.02102039082712253
2019,analogy,1108,FZ,8425,FZ,0.02099694897406625
2019,analogy,1108,FZ,9310,FZ,0.020852765384927332
2019,analogy,1108,FZ,8431,FZ,0.020761563136673086
2019,analogy,1108,FZ,2713,FZ,0.020725425451805793
2019,analogy,1108,FZ,8430,FZ,0.02072077486367771
2019,analogy,1108,FZ,2401,FZ,0.02065389714121849
2019,analogy,1108,FZ,4423,FZ,0.02056378255254716
2019,analogy,1115,FZ,2808,FZ,0.0212675723713435
2019,analogy,1115,FZ,7514,FZ,0.02115629564598892
2019,analogy,1115,FZ,3215,FZ,0.021114598811942827
2019,analogy,1115,FZ,62,FZ,0.021078095163481185
2019,analogy,1115,FZ,5215,FZ,0.021041109608262127
2019,analogy,1115,FZ,7515,FZ,0.021023877214491622
2019,analogy,1115,FZ,2718,FZ,0.020940853473569894
2019,analogy,1115,FZ,3205,FZ,0.020927297996096217
2019,analogy,1115,FZ,5205,FZ,0.02088247824753863
2019,analogy,1115,FZ,5210,FZ,0.020791248823999173
2019,analogy,2407,FZ,2814,FZ,0.023779392469586713
2019,analogy,2407,FZ,9315,FZ,0.023550180367638538
2019,analogy,2407,FZ,2406,FZ,0.023497011956002817
2019,analogy,2407,FZ,7516,FZ,0.02342751276869037
2019,analogy,2407,FZ,4410,FZ,0.023386652451382224
2019,analogy,2407,FZ,8433,FZ,0.02327033437707682
2019,analogy,2407,FZ,7509,FZ,0.02323007831467234
2019,analogy,2407,FZ,7522,FZ,0.022948903764155586
2019,analogy,2407,FZ,9303,FZ,0.02253943564885128
2019,analogy,2407,FZ,2408,FZ,0.02247771052645553
2019,analogy,2414,FZ,5314,FZ,0.0454349941594632
2019,analogy,2414,FZ,61,FZ,0.04470033291658235
2019,analogy,2414,FZ,2805,FZ,0.04247494909269779
2019,analogy,2414,FZ,1102,FZ,0.04047637047561949
2019,analogy,2414,FZ,5204,FZ,0.0388959959819561
2019,analogy,2414,FZ,2810,FZ,0.03769252316926741
2019,analogy,2414,FZ,3201,FZ,0.03567714220152147
2019,analogy,2414,FZ,7501,FZ,0.03450294854273282
2019,analogy,2414,FZ,7619,FZ,0.0342611462948
2019,analogy,2414,FZ,5220,FZ,0.034256434108176456
2019,analogy,2706,FZ,4412,FZ,0.020889277712676204
2019,analogy,2706,FZ,4424,FZ,0.020883079091101698
2019,analogy,2706,FZ,4418,FZ,0.020864689799906105
2019,analogy,2706,FZ,8428,FZ,0.020850426688195887
2019,analogy,2706,FZ,7605,FZ,0.020844239325903693
2019,analogy,2706,FZ,5201,FZ,0.0208027177691403
2019,analogy,2706,FZ,2410,FZ,0.020800327043537
2019,analogy,2706,FZ,2815,FZ,0.02078057192086735
2019,analogy,2706,FZ,1107,FZ,0.020776352081851076
2019,analogy,2706,FZ,3218,FZ,0.020750599406163705
2019,analogy,2713,FZ,9305,FZ,0.02141471895096616
2019,analogy,2713,FZ,52,FZ,0.02139271078241247
2019,analogy,2713,FZ,3204,FZ,0.021368337437484744
2019,analogy,2713,FZ,1108,FZ,0.02124384312138854
2019,analogy,2713,FZ,8430,FZ,0.021213049953156184
2019,analogy,2713,FZ,7616,FZ,0.021142207739881288
2019,analogy,2713,FZ,2710,FZ,0.021023033596769342
