ze2020,libze2020,reg,population_2022_total,side_stocks_et_2023_total,side_stocks_ul_2023_total,bpe_facilities_2024_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_per_1000_pop_2024
9310,Gap,93,107024.0,13403.0,12177.0,7135.0,125.233592,66.66729
9311,Manosque,93,92316.0,10531.0,9528.0,5170.0,114.075567,56.003293
9312,Marseille,93,1249025.0,136567.0,122984.0,61070.0,109.338884,48.894137
9313,Martigues-Salon,93,318177.0,27431.0,24547.0,13206.0,86.21302,41.5052
9314,Menton,93,81167.0,8803.0,8083.0,4522.0,108.455407,55.712297
9315,Nice,93,628105.0,84182.0,76628.0,39129.0,134.025362,62.296909
9316,Orange,93,69739.0,6802.0,6090.0,3173.0,97.535095,45.498215
9317,Sainte-Maxime,93,57965.0,13490.0,11991.0,5825.0,232.726645,100.491676
9318,Toulon,93,593711.0,63828.0,57640.0,30969.0,107.506851,52.161742
9401,Ajaccio,94,123120.0,14352.0,13087.0,7121.0,116.569201,57.837882
9402,Bastia,94,125240.0,14512.0,13324.0,7437.0,115.873523,59.381987
9403,Calvi,94,23620.0,4045.0,3717.0,2036.0,171.253175,86.198137
9404,Corte,94,16681.0,1675.0,1525.0,1117.0,100.413644,66.962412
9405,Ghisonaccia,94,19690.0,2358.0,2203.0,1169.0,119.756221,59.370239
9406,Porto-Vecchio,94,28541.0,6809.0,6193.0,3202.0,238.569076,112.189482
9407,Propriano,94,14384.0,2036.0,1867.0,1192.0,141.546162,82.869855
