year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2013,5309,Lorient,1478.0,1614.0,35
2013,5310,Morlaix,674.0,708.0,59
2013,5311,Ploërmel,460.0,504.0,53
2013,5312,Pontivy-Loudéac,616.0,648.0,64
2013,5313,Quimper,1907.0,2092.0,83
2013,5314,Quimperlé,344.0,372.0,18
2013,5315,Rennes,4979.0,5686.0,160
2013,5316,Saint-Brieuc,1133.0,1283.0,58
2013,5317,Saint-Malo,1171.0,1228.0,54
2013,5318,Vannes,1775.0,1897.0,60
2013,5319,Vitré,514.0,574.0,56
2013,7501,Agen,1086.0,1229.0,99
2013,7502,Angoulême,1784.0,2013.0,229
2013,7503,Bayonne,3842.0,4062.0,111
2013,7504,Bergerac,1021.0,1064.0,153
2013,7505,Bordeaux,12512.0,13811.0,164
2013,7506,Bressuire,607.0,730.0,80
2013,7507,Brive-la-Gaillarde,962.0,1075.0,98
2013,7508,Châtellerault,555.0,646.0,50
2013,7509,Cognac,962.0,1090.0,191
2013,7510,Dax,1435.0,1584.0,119
2013,7511,Guéret,760.0,884.0,255
2013,7512,La Rochelle,2410.0,2671.0,83
2013,7513,La Teste-de-Buch,1896.0,2052.0,33
2013,7514,Langon,1130.0,1213.0,175
2013,7515,Lesparre-Médoc,713.0,780.0,40
2013,7516,Libourne,1508.0,1644.0,140
2013,7517,Limoges,2044.0,2317.0,130
2013,7518,Marmande,745.0,850.0,131
2013,7519,Mont-de-Marsan,915.0,1079.0,166
2013,7520,Niort,1367.0,1517.0,158
2013,7521,Oloron-Sainte-Marie,513.0,567.0,163
2013,7522,Pau,2409.0,2615.0,286
2013,7523,Périgueux,1657.0,1721.0,231
2013,7524,Poitiers,2062.0,2463.0,163
2013,7525,Rochefort,615.0,659.0,41
2013,7526,Royan,1254.0,1375.0,51
2013,7527,Saint-Junien,618.0,705.0,104
2013,7528,Saintes,1022.0,1107.0,147
2013,7529,Sarlat-la-Canéda,651.0,701.0,107
2013,7530,Thouars,375.0,427.0,76
2013,7531,Tulle,539.0,649.0,130
2013,7532,Villeneuve-sur-Lot,715.0,791.0,98
2013,7601,Agde-Pézenas,1138.0,1285.0,18
2013,7602,Albi,1954.0,2183.0,190
2013,7603,Alès-Le Vigan,1764.0,1842.0,172
2013,7604,Auch,1266.0,1431.0,392
2013,7605,Bagnols-sur-Cèze,615.0,635.0,52
2013,7606,Béziers,2484.0,2655.0,110
2013,7607,Cahors,745.0,800.0,134
2013,7608,Carcassonne-Limoux,1746.0,1927.0,309
2013,7609,Castelsarrasin-Moissac,569.0,624.0,104
2013,7610,Castres-Mazamet,1143.0,1255.0,134
2013,7611,Figeac-Villefranche,685.0,932.0,136
2013,7612,Foix-Pamiers,1232.0,1366.0,268
2013,7613,Mende,390.0,489.0,135
2013,7614,Millau,475.0,506.0,91
2013,7615,Montauban,1714.0,1862.0,101
2013,7616,Montpellier,9185.0,10051.0,172
2013,7617,Narbonne,1713.0,1908.0,102
2013,7618,Nîmes,3811.0,4227.0,118
2013,7619,Nord-du-Lot,376.0,585.0,110
2013,7620,Perpignan,5338.0,6274.0,235
2013,7621,Rodez,937.0,1172.0,133
2013,7622,Saint-Gaudens,1059.0,1137.0,387
2013,7623,Sète,1131.0,1219.0,11
2013,7624,Tarbes-Lourdes,1898.0,2141.0,477
2013,7625,Toulouse,12017.0,13423.0,335
2013,8401,Annecy,3100.0,3257.0,98
2013,8402,Aubenas,1300.0,1369.0,175
2013,8403,Aurillac,421.0,575.0,102
2013,8404,Belley,445.0,492.0,72
2013,8405,Bourg-en-Bresse,1807.0,2031.0,166
2013,8406,Bourgoin-Jallieu,2049.0,2173.0,106
2013,8407,Chambéry,2250.0,2396.0,110
2013,8408,Clermont-Ferrand,3439.0,3843.0,191
2013,8409,Grenoble,5572.0,6218.0,189
2013,8410,Issoire,587.0,624.0,138
2013,8411,La Maurienne,397.0,443.0,48
2013,8412,La Plaine du Forez,641.0,692.0,88
2013,8413,La Tarentaise,1485.0,1818.0,68
2013,8414,La Vallée de l'Arve,696.0,776.0,28
