ze2020,libze2020,communes_count,zan_naf09art24_total,zan_art09act24_total,zan_art09hab24_total,zan_art09mix24_total,zan_art09inc24_total,zan_art09rou24_total,zan_art09fer24_total,zan_artcom0924_total,zan_pop15_total,zan_pop21_total,zan_men15_total,zan_men21_total,zan_emp15_total,zan_emp21_total,zan_surfcom2024_total,zan_artif_per_pop21,zan_artif_per_surface
3204,Berck,201,7248769.0,1814679.0,4411516.0,111330.0,447908.0,448536.0,14800.0,93.8,127975.0,125596.0,54532.0,55836.0,45110.0,45763.0,1490903242.0,57.714967,0.004862
3205,Béthune,109,11739590.0,3247501.0,7198996.0,170687.0,264741.0,857073.0,592.0,178.75,278288.0,274725.0,115007.0,117673.0,79538.0,79659.0,761463776.0,42.73215,0.015417
3206,Boulogne-sur-Mer,92,5546597.0,970012.0,3998900.0,131253.0,106174.0,340258.0,0.0,65.24,168082.0,165154.0,70521.0,72778.0,57534.0,59256.0,807016503.0,33.584394,0.006873
3207,Calais,51,7372932.0,2026924.0,4481504.0,96607.0,176604.0,480796.0,110497.0,66.27,151228.0,143461.0,60855.0,63289.0,49616.0,50291.0,544562097.0,51.393285,0.013539
3208,Cambrai,111,6251857.0,2371137.0,3123489.0,108621.0,325446.0,323164.0,0.0,92.0,158456.0,154286.0,66373.0,67515.0,51063.0,50667.0,889256924.0,40.52122,0.00703
3209,Château-Thierry,119,4096252.0,1065054.0,1777885.0,43560.0,445028.0,188978.0,575747.0,36.19,72134.0,72302.0,30174.0,30942.0,22288.0,21630.0,1235667823.0,56.654754,0.003315
3210,Compiègne,181,11256315.0,5090649.0,4533171.0,187318.0,708912.0,736200.0,65.0,134.4,200468.0,200121.0,83894.0,87144.0,72758.0,73707.0,1493308744.0,56.247545,0.007538
3211,Creil,134,8955968.0,4036925.0,3827904.0,221640.0,283238.0,585851.0,410.0,100.46,297565.0,302057.0,118074.0,124072.0,95664.0,94452.0,1184022296.0,29.649927,0.007564
3212,Douai,71,8242907.0,3302964.0,3694230.0,64380.0,621916.0,559271.0,146.0,127.49,244687.0,243616.0,99143.0,102627.0,75554.0,77502.0,472085641.0,33.835655,0.017461
3213,Dunkerque,75,11696836.0,3183854.0,7068103.0,238911.0,211037.0,818936.0,175995.0,93.02,279114.0,272372.0,116188.0,119383.0,102324.0,102897.0,999304898.0,42.944341,0.011705
3214,Laon,225,4792331.0,2191973.0,2000243.0,49737.0,226254.0,324124.0,0.0,47.48,107144.0,104432.0,45275.0,45430.0,36434.0,34971.0,2090175938.0,45.889488,0.002293
3215,Lens,58,15166156.0,7232228.0,6037929.0,108326.0,207040.0,1576136.0,4497.0,199.3,389051.0,391443.0,158258.0,164693.0,118938.0,123448.0,405715480.0,38.744226,0.037381
3216,Lille,133,18838369.0,5498647.0,10363956.0,400096.0,736997.0,1814031.0,24642.0,252.88,915344.0,938450.0,401389.0,431907.0,427956.0,462872.0,1147285181.0,20.073919,0.01642
3217,Maubeuge,199,10957260.0,2775512.0,7127278.0,313996.0,266568.0,464261.0,9645.0,117.27,251849.0,243947.0,105025.0,106073.0,74239.0,73383.0,2182136073.0,44.91656,0.005021
3218,Roubaix-Tourcoing,22,2726853.0,1076003.0,1291571.0,55685.0,47769.0,255825.0,0.0,35.69,408639.0,412827.0,159919.0,168986.0,125944.0,126778.0,169343655.0,6.605317,0.016102
3219,Saint-Omer,126,14640701.0,4307467.0,8950156.0,229244.0,552819.0,600514.0,501.0,160.25,172903.0,172250.0,70416.0,72828.0,62492.0,63765.0,1132649502.0,84.996813,0.012926
3220,Saint-Quentin,326,10010870.0,3441370.0,4563432.0,93982.0,1253197.0,657001.0,1888.0,118.84,257664.0,249617.0,110954.0,111622.0,86105.0,85125.0,2649815815.0,40.104921,0.003778
3221,Soissons,232,8517428.0,2964155.0,3286606.0,162223.0,1319238.0,769703.0,15503.0,93.84,167732.0,166833.0,69127.0,71715.0,49958.0,49133.0,2003838692.0,51.053616,0.004251
3222,Valenciennes,125,13910826.0,4376861.0,7998725.0,192885.0,449601.0,887148.0,5606.0,213.59,392768.0,391671.0,161425.0,166433.0,128225.0,130635.0,912224050.0,35.51661,0.015249
4401,Bar-le-Duc,153,1841493.0,324963.0,1163145.0,24982.0,275922.0,52467.0,14.0,13.54,70797.0,67030.0,32088.0,31827.0,27192.0,26745.0,2112055140.0,27.472669,0.000872
4402,Châlons-en-Champagne,151,7625895.0,2373774.0,3756015.0,52677.0,804194.0,579705.0,59530.0,47.71,110561.0,108196.0,47618.0,48461.0,48407.0,46756.0,2661024560.0,70.482227,0.002866
