selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
fixed_huber_absolute_sitadel_energy_lambda_0_5,1112,Roissy,78976.0,4431.0,3989.813889156416,441.1861108435842,5.610565235008104,5.0519320922260125,0.5586331427820914
fixed_huber_absolute_sitadel_energy_lambda_0_5,1113,Saclay,40729.0,1797.0,1615.6550426273134,181.34495737268662,4.412089665840065,3.966841912709159,0.4452477531309058
fixed_huber_absolute_sitadel_energy_lambda_0_5,1114,Seine-Yvelinoise,63289.0,3163.0,2869.143941844155,293.85605815584495,4.997708922561583,4.5334006570559735,0.46430826550560944
fixed_huber_absolute_sitadel_energy_lambda_0_5,1115,Versailles-Saint-Quentin,44913.0,2806.0,3183.6028570594062,-377.60285705940623,6.247634315231671,7.088377211630053,-0.8407428963983827
fixed_huber_absolute_sitadel_energy_lambda_0_5,2401,Blois,8910.0,495.0,300.2041202881369,194.7958797118631,5.555555555555555,3.3692942793281353,2.18626127622742
fixed_huber_absolute_sitadel_energy_lambda_0_5,2402,Bourges,9468.0,681.0,829.3456423241125,-148.34564232411253,7.192648922686945,8.759459678116947,-1.5668107554300024
fixed_huber_absolute_sitadel_energy_lambda_0_5,2403,Chartres,10975.0,790.0,954.510445170557,-164.51044517055698,7.198177676537585,8.69713389677045,-1.4989562202328655
fixed_huber_absolute_sitadel_energy_lambda_0_5,2404,Châteaudun,2414.0,220.0,195.49082505716524,24.50917494283476,9.113504556752279,8.09821147709881,1.0152930796534694
fixed_huber_absolute_sitadel_energy_lambda_0_5,2405,Châteauroux,8661.0,881.0,810.3518932095335,70.6481067904665,10.172035561713429,9.356331753949123,0.8157038077643062
fixed_huber_absolute_sitadel_energy_lambda_0_5,2406,Chinon,2055.0,165.0,143.61830813197236,21.381691868027644,8.02919708029197,6.9887254565436665,1.0404716237483038
fixed_huber_absolute_sitadel_energy_lambda_0_5,2407,Gien,3436.0,378.0,323.01674838394877,54.983251616051234,11.0011641443539,9.400953096156831,1.6002110481970693
fixed_huber_absolute_sitadel_energy_lambda_0_5,2408,Loches,2600.0,291.0,241.34823705925078,49.65176294074922,11.192307692307692,9.282624502278876,1.9096831900288151
