ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_proxy_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
3205,Béthune,32,275053.0,122645.52874,0.0,0.0,80513.42936000005,292.719692,14302.0,12865.0,51.997251,8387.0,30.492305,4418.0,1650.0,40.470153,-12.660204
3206,Boulogne-sur-Mer,32,165320.0,72988.2424,0.0,0.0,60110.832750000016,363.602908,10628.0,9411.0,64.287443,5674.0,34.321316,3530.0,1572.0,41.417807,-13.496889
3207,Calais,32,143503.0,64027.38754,0.0,0.0,50702.83156,353.32245,8035.0,7036.0,55.991861,4472.0,31.163112,2618.0,1035.0,42.056828,-12.945755
3208,Cambrai,32,153787.0,69261.27931999997,0.0,0.0,51526.011960000025,335.047904,9086.0,8079.0,59.081717,5330.0,34.658326,2906.0,1395.0,39.218188,-13.003938
3209,Château-Thierry,32,71928.0,33477.8246,0.0,0.0,21673.649219999992,301.32423,4346.0,3957.0,60.421533,2640.0,36.70337,1235.0,896.0,45.28282,-14.134344
3210,Compiègne,32,200394.0,93740.01646,0.0,0.0,74221.94217000007,370.380062,13504.0,11997.0,67.387247,7021.0,35.035979,3947.0,1967.0,52.216312,-16.389288
3211,Creil,32,303955.0,141316.30871000004,0.0,0.0,95373.53594999999,313.775184,19902.0,17974.0,65.476798,10448.0,34.373509,5465.0,2295.0,52.817112,-15.522014
3212,Douai,32,243824.0,106781.90606000002,0.0,0.0,78201.703,320.730129,12306.0,10991.0,50.470831,7149.0,29.320329,3626.0,1457.0,41.061498,-12.57253
3213,Dunkerque,32,272414.0,121187.21815000003,0.0,0.0,103655.52487000002,380.507334,14926.0,13144.0,54.791604,8447.0,31.007951,4696.0,2201.0,46.286202,-13.89552
3214,Laon,32,104372.0,46719.58517000005,0.0,0.0,35215.78274,337.406419,5705.0,5149.0,54.660254,3730.0,35.737554,2005.0,971.0,40.790862,-13.293097
3215,Lens,32,390806.0,169664.34534000006,0.0,0.0,125663.84612,321.550452,18724.0,16415.0,47.91124,11251.0,28.78922,5839.0,2140.0,38.254772,-11.828442
3216,Lille,32,944572.0,459877.0574299999,0.0,0.0,471664.72326999984,499.342266,88797.0,77811.0,94.007656,33659.0,35.634128,19616.0,11717.0,54.901979,-17.236511
3217,Maubeuge,32,242992.0,103149.10978999994,0.0,0.0,73862.10716,303.969296,11440.0,10227.0,47.079739,7713.0,31.741786,3859.0,1675.0,34.494728,-11.199681
3218,Roubaix-Tourcoing,32,413993.0,183840.80425999998,0.0,0.0,128653.82330999998,310.763282,28692.0,26080.0,69.30552,12747.0,30.790376,6361.0,3308.0,43.369663,-13.813423
3219,Saint-Omer,32,172004.0,77932.47578999997,0.0,0.0,64607.44219000001,375.615929,10336.0,9204.0,60.091626,5743.0,33.388758,3405.0,1610.0,42.37264,-13.384902
3220,Saint-Quentin,32,248554.0,107177.87321000006,0.0,0.0,85383.44385000001,343.520699,13876.0,12232.0,55.826903,8413.0,33.847776,4532.0,2413.0,37.804787,-12.630686
3221,Soissons,32,166743.0,78258.24614999995,0.0,0.0,49579.48216999999,297.340711,9891.0,8891.0,59.318832,5682.0,34.076393,3033.0,1611.0,47.31262,-14.152274
3222,Valenciennes,32,391127.0,173313.11473999996,0.0,0.0,132699.11137000003,339.273718,21111.0,18850.0,53.974796,11988.0,30.649891,6123.0,2537.0,39.377397,-12.545346
4401,Bar-le-Duc,44,66470.0,29132.983700000004,0.0,0.0,26922.257179999993,405.028692,3918.0,3466.0,58.943884,2705.0,40.69505,1586.0,665.0,45.4099,-13.878379
4402,Châlons-en-Champagne,44,107630.0,49938.05900000002,0.0,0.0,46766.441660000026,434.511211,6735.0,5898.0,62.57549,3795.0,35.259686,2135.0,1363.0,47.751621,-14.039147
