year_month,ze2020,target_proxy_establishment_creations_count
2011-03,5217,107
2011-03,5218,42
2011-03,5219,341
2011-03,5220,82
2011-03,5221,60
2011-03,5301,137
2011-03,5302,344
2011-03,5303,75
2011-03,5304,138
2011-03,5305,76
2011-03,5306,51
2011-03,5307,69
2011-03,5308,139
2011-03,5309,250
2011-03,5310,126
2011-03,5311,76
2011-03,5312,101
2011-03,5313,325
2011-03,5314,62
2011-03,5315,820
2011-03,5316,193
2011-03,5317,197
2011-03,5318,346
2011-03,5319,79
2011-03,7501,188
2011-03,7502,266
2011-03,7503,598
2011-03,7504,156
2011-03,7505,1737
2011-03,7506,106
2011-03,7507,173
2011-03,7508,89
2011-03,7509,174
2011-03,7510,254
2011-03,7511,118
2011-03,7512,411
2011-03,7513,270
2011-03,7514,154
2011-03,7515,100
2011-03,7516,226
2011-03,7517,333
2011-03,7518,134
2011-03,7519,148
2011-03,7520,215
2011-03,7521,65
2011-03,7522,373
2011-03,7523,261
2011-03,7524,340
2011-03,7525,96
2011-03,7526,212
2011-03,7527,72
2011-03,7528,134
2011-03,7529,131
2011-03,7530,55
2011-03,7531,92
2011-03,7532,120
2011-03,7601,195
2011-03,7602,276
2011-03,7603,260
2011-03,7604,234
2011-03,7605,118
2011-03,7606,358
2011-03,7607,123
2011-03,7608,286
2011-03,7609,107
2011-03,7610,160
2011-03,7611,120
2011-03,7612,190
2011-03,7613,82
2011-03,7614,76
2011-03,7615,266
2011-03,7616,1445
2011-03,7617,260
2011-03,7618,562
2011-03,7619,76
2011-03,7620,876
2011-03,7621,201
2011-03,7622,167
2011-03,7623,187
2011-03,7624,298
2011-03,7625,1813
2011-03,8401,437
2011-03,8402,188
2011-03,8403,93
2011-03,8404,52
2011-03,8405,296
2011-03,8406,251
2011-03,8407,309
2011-03,8408,512
2011-03,8409,823
2011-03,8410,92
2011-03,8411,53
2011-03,8412,99
2011-03,8413,172
2011-03,8414,85
2011-03,8415,133
2011-03,8416,344
2011-03,8417,98
2011-03,8418,103
2011-03,8419,141
2011-03,8420,113
2011-03,8421,1809
2011-03,8422,169
2011-03,8423,121
2011-03,8424,112
2011-03,8425,55
2011-03,8426,159
2011-03,8427,143
2011-03,8428,687
2011-03,8429,49
2011-03,8430,64
2011-03,8431,385
2011-03,8432,144
2011-03,8433,321
2011-03,8434,223
2011-03,8435,229
2011-03,9301,823
2011-03,9302,80
2011-03,9303,286
2011-03,9304,1115
2011-03,9305,148
2011-03,9306,260
2011-03,9307,120
2011-03,9308,220
2011-03,9309,306
2011-03,9310,142
2011-03,9311,167
2011-03,9312,653
2011-03,9313,402
2011-03,9314,160
2011-03,9315,1326
2011-03,9316,101
2011-03,9317,273
2011-03,9318,1079
2011-04,0051,140
2011-04,0052,275
2011-04,0053,522
2011-04,0054,297
2011-04,0055,132
2011-04,0056,87
2011-04,0057,147
2011-04,0058,88
2011-04,0059,201
2011-04,0060,161
2011-04,0061,78
2011-04,0062,92
2011-04,0063,117
2011-04,0064,122
2011-04,1101,625
2011-04,1102,84
2011-04,1103,117
2011-04,1104,677
2011-04,1105,247
2011-04,1106,568
2011-04,1107,222
2011-04,1108,196
2011-04,1109,6512
2011-04,1110,75
2011-04,1111,99
2011-04,1112,972
2011-04,1113,597
2011-04,1114,901
2011-04,1115,769
2011-04,2401,237
2011-04,2402,228
2011-04,2403,226
2011-04,2404,54
2011-04,2405,226
2011-04,2406,51
2011-04,2407,92
2011-04,2408,75
2011-04,2409,171
2011-04,2410,538
2011-04,2411,55
2011-04,2412,107
2011-04,2413,636
2011-04,2414,79
2011-04,2415,65
2011-04,2701,53
2011-04,2702,215
2011-04,2703,59
2011-04,2704,107
2011-04,2705,195
2011-04,2706,393
2011-04,2707,213
2011-04,2708,117
2011-04,2709,76
2011-04,2710,92
2011-04,2711,453
2011-04,2712,96
2011-04,2713,197
2011-04,2714,143
2011-04,2715,144
2011-04,2716,47
2011-04,2717,133
2011-04,2718,142
2011-04,2801,34
2011-04,2802,98
2011-04,2803,82
2011-04,2804,717
2011-04,2805,178
2011-04,2806,72
2011-04,2807,137
2011-04,2808,208
2011-04,2809,101
2011-04,2810,93
2011-04,2811,187
2011-04,2812,56
2011-04,2813,263
2011-04,2814,92
2011-04,2815,782
2011-04,2816,118
2011-04,2817,133
2011-04,2818,50
2011-04,2819,99
2011-04,3201,105
2011-04,3202,419
2011-04,3203,197
2011-04,3204,159
2011-04,3205,258
2011-04,3206,220
2011-04,3207,148
2011-04,3208,133
2011-04,3209,84
2011-04,3210,230
2011-04,3211,331
2011-04,3212,204
2011-04,3213,243
2011-04,3214,108
2011-04,3215,294
2011-04,3216,1204
2011-04,3217,182
2011-04,3218,460
2011-04,3219,170
2011-04,3220,219
2011-04,3221,142
2011-04,3222,355
2011-04,4401,78
2011-04,4402,110
2011-04,4403,157
2011-04,4404,122
2011-04,4405,230
2011-04,4406,109
2011-04,4407,210
2011-04,4408,100
2011-04,4409,272
2011-04,4410,533
2011-04,4411,487
2011-04,4412,664
2011-04,4413,443
2011-04,4414,96
2011-04,4415,76
2011-04,4416,132
2011-04,4417,108
2011-04,4418,106
2011-04,4419,126
2011-04,4420,128
2011-04,4421,127
2011-04,4422,115
2011-04,4423,953
2011-04,4424,282
2011-04,4425,308
2011-04,4426,80
2011-04,4427,111
2011-04,5201,107
2011-04,5202,471
2011-04,5203,293
2011-04,5204,51
2011-04,5205,65
2011-04,5206,193
2011-04,5207,214
2011-04,5208,71
2011-04,5209,60
2011-04,5210,190
2011-04,5211,181
2011-04,5212,387
2011-04,5213,137
2011-04,5214,151
2011-04,5215,75
2011-04,5216,1293
2011-04,5217,135
2011-04,5218,53
2011-04,5219,389
2011-04,5220,101
2011-04,5221,44
2011-04,5301,213
2011-04,5302,409
2011-04,5303,90
2011-04,5304,127
2011-04,5305,75
2011-04,5306,64
2011-04,5307,97
2011-04,5308,146
2011-04,5309,297
2011-04,5310,139
2011-04,5311,84
2011-04,5312,144
2011-04,5313,354
2011-04,5314,59
2011-04,5315,936
2011-04,5316,227
2011-04,5317,219
2011-04,5318,368
2011-04,5319,101
2011-04,7501,191
2011-04,7502,288
2011-04,7503,750
2011-04,7504,190
2011-04,7505,1874
2011-04,7506,125
2011-04,7507,185
2011-04,7508,102
2011-04,7509,176
2011-04,7510,371
2011-04,7511,158
2011-04,7512,542
2011-04,7513,339
2011-04,7514,180
2011-04,7515,135
2011-04,7516,238
2011-04,7517,348
2011-04,7518,124
2011-04,7519,179
2011-04,7520,275
2011-04,7521,88
2011-04,7522,380
2011-04,7523,324
2011-04,7524,383
