ZE2020,graph_source,self_weight,top1_ze,top1_name,top1_weight,top2_ze,top2_name,top2_weight,top3_ze,top3_name,top3_weight,total_outflow,top3_concentration,graph_dependency_high,learned_adj_status,libze2020,opportunity_score,risk_score,risk_graph_component
7524,mobility_prior,0.0,7508,Châtellerault,0.3292688874317948,7520,Niort,0.1425383367347726,7506,Bressuire,0.0681411793491603,0.9999999999999923,0.5399484035157318,True,pending,Poitiers,58.57142857142858,43.214285714285715,0.13214285714285715
7525,mobility_prior,0.0,7512,La Rochelle,0.5391178971544723,7528,Saintes,0.2020206165004487,7526,Royan,0.1429096629087667,0.9999999999999961,0.8840481765636912,True,pending,Rochefort,24.642857142857146,78.21428571428571,0.9035714285714286
7526,mobility_prior,0.0,7528,Saintes,0.3922483148663053,7525,Rochefort,0.2068536393784384,7512,La Rochelle,0.1225584720145759,0.9999999999999954,0.7216604262593229,True,pending,Royan,73.92857142857143,5.714285714285714,0.4928571428571429
7527,mobility_prior,0.0,7517,Limoges,0.6353786913032162,7502,Angoulême,0.1614394597017967,7524,Poitiers,0.0841869927220614,0.9999999999999968,0.8810051437270773,True,pending,Saint-Junien,10.714285714285714,88.57142857142857,0.8964285714285715
7528,mobility_prior,0.0,7509,Cognac,0.3660905062882378,7526,Royan,0.1920952604345832,7525,Rochefort,0.1311023956441602,0.9999999999999959,0.689288162366984,True,pending,Saintes,46.07142857142857,21.428571428571427,0.43214285714285716
7529,mobility_prior,0.0,7523,Périgueux,0.2138712749960822,7507,Brive-la-Gaillarde,0.1990222135378067,7504,Bergerac,0.1472744773296956,0.9999999999999968,0.5601679658635862,True,pending,Sarlat-la-Canéda,14.642857142857144,42.857142857142854,0.16785714285714284
7530,mobility_prior,0.0,7506,Bressuire,0.2648290912309864,5220,Saumur,0.2169298556060204,7524,Poitiers,0.1586731307373067,0.9999999999999962,0.640432077574316,True,pending,Thouars,33.214285714285715,21.071428571428573,0.3357142857142857
7531,mobility_prior,0.0,7507,Brive-la-Gaillarde,0.4989687437493397,7619,Nord-du-Lot,0.1375879781977688,63,Ussel,0.1362755518383115,0.999999999999997,0.7728322737854223,True,pending,Tulle,33.57142857142857,37.142857142857146,0.6321428571428571
7532,mobility_prior,0.0,7501,Agen,0.443988179958533,7518,Marmande,0.1862686876269801,7504,Bergerac,0.0890115210717715,0.9999999999999967,0.719268388657287,True,pending,Villeneuve-sur-Lot,52.5,13.571428571428571,0.48928571428571427
7601,mobility_prior,0.0,7606,Béziers,0.4100733122675629,7616,Montpellier,0.3120667424057474,7623,Sète,0.1751759960245945,0.9999999999999958,0.8973160506979085,True,pending,Agde-Pézenas,75.35714285714286,12.5,0.95
7602,mobility_prior,0.0,7625,Toulouse,0.6537165817594033,7610,Castres-Mazamet,0.1396555329200837,7621,Rodez,0.0554233614353432,0.9999999999999942,0.8487954761148351,True,pending,Albi,52.142857142857146,58.92857142857143,0.825
7603,mobility_prior,0.0,7618,Nîmes,0.4480381582352482,7616,Montpellier,0.2823934460809402,7605,Bagnols-sur-Cèze,0.0454065052861792,0.999999999999995,0.7758381096023714,True,pending,Alès-Le Vigan,38.92857142857143,71.07142857142857,0.6464285714285715
7604,mobility_prior,0.0,7625,Toulouse,0.5003598757748253,7624,Tarbes-Lourdes,0.1366308938578342,7501,Agen,0.0953159029620445,0.9999999999999958,0.7323066725947072,True,pending,Auch,60.71428571428571,22.5,0.5285714285714286
7605,mobility_prior,0.0,53,Avignon,0.2994932851870241,55,Bollène-Pierrelatte,0.281212964949598,7618,Nîmes,0.1568657420609767,0.9999999999999957,0.737571992197602,True,pending,Bagnols-sur-Cèze,17.5,87.85714285714286,0.55
