zone_id,target_year,a10,jobs,jobs_suppressed
CR04,2014,KZ,4.9,0
CR04,2014,LZ,0.7,0
CR04,2014,MN,15.3,0
CR04,2014,OPQ,46.2,0
CR04,2014,RSU,3.2,0
CR04,2015,A,1.3,0
CR04,2015,BE,13.2,0
CR04,2015,FZ,4.2,0
CR04,2015,GI,27.3,0
CR04,2015,JZ,1.8,0
CR04,2015,KZ,5.3,0
CR04,2015,LZ,0.8,0
CR04,2015,MN,17.6,0
CR04,2015,OPQ,46.9,0
CR04,2015,RSU,3.2,0
CR04,2016,A,1.6,0
CR04,2016,BE,13.1,0
CR04,2016,FZ,4.3,0
CR04,2016,GI,27.6,0
CR04,2016,JZ,1.9,0
CR04,2016,KZ,5.4,0
CR04,2016,LZ,0.8,0
CR04,2016,MN,17.1,0
CR04,2016,OPQ,45.7,0
CR04,2016,RSU,3.4,0
CR04,2017,A,1.7,0
CR04,2017,BE,13.3,0
CR04,2017,FZ,4.7,0
CR04,2017,GI,28.7,0
CR04,2017,JZ,1.8,0
CR04,2017,KZ,4.7,0
CR04,2017,LZ,0.8,0
CR04,2017,MN,18.6,0
CR04,2017,OPQ,47.0,0
CR04,2017,RSU,3.4,0
CR04,2018,A,1.7,0
CR04,2018,BE,13.6,0
CR04,2018,FZ,5.1,0
CR04,2018,GI,30.8,0
CR04,2018,JZ,1.9,0
CR04,2018,KZ,4.2,0
CR04,2018,LZ,0.9,0
CR04,2018,MN,20.3,0
CR04,2018,OPQ,46.9,0
CR04,2018,RSU,3.3,0
CR04,2019,A,1.7,0
CR04,2019,BE,13.8,0
CR04,2019,FZ,5.2,0
CR04,2019,GI,31.1,0
CR04,2019,JZ,1.9,0
CR04,2019,KZ,4.3,0
CR04,2019,LZ,1.0,0
CR04,2019,MN,19.8,0
CR04,2019,OPQ,47.4,0
CR04,2019,RSU,3.3,0
CR04,2020,A,1.8,0
CR04,2020,BE,13.8,0
CR04,2020,FZ,5.5,0
CR04,2020,GI,29.6,0
CR04,2020,JZ,2.0,0
CR04,2020,KZ,4.8,0
CR04,2020,LZ,0.9,0
CR04,2020,MN,19.4,0
CR04,2020,OPQ,49.8,0
CR04,2020,RSU,3.2,0
CR04,2021,A,1.7,0
CR04,2021,BE,13.9,0
CR04,2021,FZ,5.8,0
CR04,2021,GI,31.6,0
CR04,2021,JZ,2.0,0
CR04,2021,KZ,4.8,0
CR04,2021,LZ,0.9,0
CR04,2021,MN,22.1,0
CR04,2021,OPQ,50.5,0
CR04,2021,RSU,3.3,0
CR04,2022,A,1.8,0
CR04,2022,BE,14.3,0
CR04,2022,FZ,6.0,0
CR04,2022,GI,33.2,0
CR04,2022,JZ,2.1,0
CR04,2022,KZ,4.7,0
CR04,2022,LZ,0.9,0
CR04,2022,MN,20.9,0
CR04,2022,OPQ,51.4,0
CR04,2022,RSU,3.5,0
CR04,2023,A,1.7,0
CR04,2023,BE,14.4,0
CR04,2023,FZ,6.1,0
CR04,2023,GI,33.4,0
CR04,2023,JZ,2.0,0
CR04,2023,KZ,4.3,0
CR04,2023,LZ,1.0,0
CR04,2023,MN,18.6,0
CR04,2023,OPQ,51.9,0
CR04,2023,RSU,3.6,0
CR04,2024,A,1.7,0
CR04,2024,BE,14.0,0
CR04,2024,FZ,6.2,0
CR04,2024,GI,33.2,0
CR04,2024,JZ,2.0,0
CR04,2024,KZ,4.0,0
CR04,2024,LZ,1.0,0
CR04,2024,MN,17.2,0
CR04,2024,OPQ,52.0,0
CR04,2024,RSU,3.7,0
CR05,2010,A,0.5,0
CR05,2010,BE,6.2,0
CR05,2010,FZ,2.3,0
CR05,2010,GI,10.4,0
CR05,2010,JZ,0.3,0
CR05,2010,KZ,1.0,0
CR05,2010,LZ,0.3,0
CR05,2010,MN,4.1,0
CR05,2010,OPQ,11.7,0
CR05,2010,RSU,1.7,0
CR05,2011,A,0.5,0
CR05,2011,BE,5.9,0
CR05,2011,FZ,2.1,0
CR05,2011,GI,10.5,0
CR05,2011,JZ,0.3,0
CR05,2011,KZ,1.1,0
CR05,2011,LZ,0.3,0
CR05,2011,MN,4.5,0
CR05,2011,OPQ,11.2,0
CR05,2011,RSU,1.7,0
CR05,2012,A,0.5,0
CR05,2012,BE,5.8,0
CR05,2012,FZ,1.9,0
CR05,2012,GI,10.6,0
CR05,2012,JZ,0.4,0
CR05,2012,KZ,0.8,0
CR05,2012,LZ,0.3,0
CR05,2012,MN,4.6,0
CR05,2012,OPQ,11.3,0
CR05,2012,RSU,1.6,0
CR05,2013,A,0.5,0
CR05,2013,BE,5.6,0
CR05,2013,FZ,1.5,0
CR05,2013,GI,10.0,0
CR05,2013,JZ,0.3,0
CR05,2013,KZ,0.7,0
CR05,2013,LZ,0.3,0
CR05,2013,MN,4.2,0
CR05,2013,OPQ,10.9,0
CR05,2013,RSU,1.7,0
CR05,2014,A,0.6,0
CR05,2014,BE,7.3,0
CR05,2014,FZ,1.7,0
CR05,2014,GI,12.4,0
CR05,2014,JZ,0.3,0
CR05,2014,KZ,0.8,0
CR05,2014,LZ,0.4,0
CR05,2014,MN,5.6,0
CR05,2014,OPQ,14.0,0
CR05,2014,RSU,1.9,0
CR05,2015,A,0.6,0
CR05,2015,BE,7.3,0
CR05,2015,FZ,1.8,0
CR05,2015,GI,12.8,0
CR05,2015,JZ,0.4,0
CR05,2015,KZ,1.0,0
CR05,2015,LZ,0.3,0
CR05,2015,MN,5.7,0
CR05,2015,OPQ,13.8,0
CR05,2015,RSU,1.8,0
CR05,2016,A,0.7,0
CR05,2016,BE,7.5,0
CR05,2016,FZ,1.9,0
CR05,2016,GI,13.1,0
CR05,2016,JZ,0.4,0
CR05,2016,KZ,0.9,0
CR05,2016,LZ,0.3,0
CR05,2016,MN,6.2,0
CR05,2016,OPQ,15.1,0
CR05,2016,RSU,1.9,0
CR05,2017,A,0.8,0
CR05,2017,BE,7.9,0
CR05,2017,FZ,1.9,0
CR05,2017,GI,13.9,0
CR05,2017,JZ,0.5,0
CR05,2017,KZ,0.8,0
