ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,BanenVanWerknemersInDecember_1
637,T001081,CR22  ,2017JJ00,58.7
638,T001081,CR22  ,2018JJ00,62.7
639,T001081,CR22  ,2019JJ00,63.5
640,T001081,CR22  ,2020JJ00,63.2
641,T001081,CR22  ,2021JJ00,63.6
642,T001081,CR22  ,2022JJ00,64.4
643,T001081,CR22  ,2023JJ00,64.9
644,T001081,CR22  ,2024JJ00,65.4
645,T001081,CR23  ,2010JJ00,836.1
646,T001081,CR23  ,2011JJ00,842.3
647,T001081,CR23  ,2012JJ00,829.3
648,T001081,CR23  ,2013JJ00,854.1
649,T001081,CR23  ,2014JJ00,873.1
650,T001081,CR23  ,2015JJ00,874.8
651,T001081,CR23  ,2016JJ00,906.0
652,T001081,CR23  ,2017JJ00,935.0
653,T001081,CR23  ,2018JJ00,969.1
654,T001081,CR23  ,2019JJ00,999.6
655,T001081,CR23  ,2020JJ00,941.8
656,T001081,CR23  ,2021JJ00,998.9
657,T001081,CR23  ,2022JJ00,1045.2
658,T001081,CR23  ,2023JJ00,1069.8
659,T001081,CR23  ,2024JJ00,1079.3
660,T001081,CR24  ,2010JJ00,106.8
661,T001081,CR24  ,2011JJ00,107.8
662,T001081,CR24  ,2012JJ00,104.1
663,T001081,CR24  ,2013JJ00,102.0
664,T001081,CR24  ,2014JJ00,102.7
665,T001081,CR24  ,2015JJ00,105.6
666,T001081,CR24  ,2016JJ00,106.2
667,T001081,CR24  ,2017JJ00,108.3
668,T001081,CR24  ,2018JJ00,110.9
669,T001081,CR24  ,2019JJ00,111.9
670,T001081,CR24  ,2020JJ00,106.2
671,T001081,CR24  ,2021JJ00,107.8
672,T001081,CR24  ,2022JJ00,110.5
673,T001081,CR24  ,2023JJ00,102.3
674,T001081,CR24  ,2024JJ00,100.3
675,T001081,CR25  ,2010JJ00,172.5
676,T001081,CR25  ,2011JJ00,174.1
677,T001081,CR25  ,2012JJ00,170.8
678,T001081,CR25  ,2013JJ00,168.6
679,T001081,CR25  ,2014JJ00,167.5
680,T001081,CR25  ,2015JJ00,172.3
681,T001081,CR25  ,2016JJ00,172.5
682,T001081,CR25  ,2017JJ00,176.1
683,T001081,CR25  ,2018JJ00,177.9
684,T001081,CR25  ,2019JJ00,181.5
685,T001081,CR25  ,2020JJ00,181.0
686,T001081,CR25  ,2021JJ00,184.3
687,T001081,CR25  ,2022JJ00,188.5
688,T001081,CR25  ,2023JJ00,192.5
689,T001081,CR25  ,2024JJ00,193.5
690,T001081,CR26  ,2010JJ00,406.0
691,T001081,CR26  ,2011JJ00,398.3
692,T001081,CR26  ,2012JJ00,392.0
693,T001081,CR26  ,2013JJ00,378.4
694,T001081,CR26  ,2014JJ00,380.2
695,T001081,CR26  ,2015JJ00,394.1
696,T001081,CR26  ,2016JJ00,386.0
697,T001081,CR26  ,2017JJ00,396.8
698,T001081,CR26  ,2018JJ00,402.2
699,T001081,CR26  ,2019JJ00,411.5
700,T001081,CR26  ,2020JJ00,409.7
701,T001081,CR26  ,2021JJ00,421.2
702,T001081,CR26  ,2022JJ00,436.9
703,T001081,CR26  ,2023JJ00,439.0
704,T001081,CR26  ,2024JJ00,445.1
705,T001081,CR27  ,2010JJ00,116.8
706,T001081,CR27  ,2011JJ00,120.0
707,T001081,CR27  ,2012JJ00,118.7
708,T001081,CR27  ,2013JJ00,117.2
709,T001081,CR27  ,2014JJ00,119.0
710,T001081,CR27  ,2015JJ00,121.5
711,T001081,CR27  ,2016JJ00,126.4
712,T001081,CR27  ,2017JJ00,133.5
713,T001081,CR27  ,2018JJ00,136.4
714,T001081,CR27  ,2019JJ00,139.2
715,T001081,CR27  ,2020JJ00,139.4
716,T001081,CR27  ,2021JJ00,141.2
717,T001081,CR27  ,2022JJ00,144.7
718,T001081,CR27  ,2023JJ00,146.7
719,T001081,CR27  ,2024JJ00,148.8
720,T001081,CR28  ,2010JJ00,124.7
721,T001081,CR28  ,2011JJ00,123.9
722,T001081,CR28  ,2012JJ00,121.9
723,T001081,CR28  ,2013JJ00,119.9
724,T001081,CR28  ,2014JJ00,119.4
725,T001081,CR28  ,2015JJ00,122.7
726,T001081,CR28  ,2016JJ00,126.0
727,T001081,CR28  ,2017JJ00,129.8
728,T001081,CR28  ,2018JJ00,130.9
729,T001081,CR28  ,2019JJ00,132.4
730,T001081,CR28  ,2020JJ00,130.5
731,T001081,CR28  ,2021JJ00,132.9
732,T001081,CR28  ,2022JJ00,135.4
733,T001081,CR28  ,2023JJ00,137.3
734,T001081,CR28  ,2024JJ00,137.6
735,T001081,CR29  ,2010JJ00,668.7
736,T001081,CR29  ,2011JJ00,663.2
737,T001081,CR29  ,2012JJ00,653.1
738,T001081,CR29  ,2013JJ00,637.2
739,T001081,CR29  ,2014JJ00,643.2
740,T001081,CR29  ,2015JJ00,655.3
741,T001081,CR29  ,2016JJ00,661.9
742,T001081,CR29  ,2017JJ00,674.1
743,T001081,CR29  ,2018JJ00,693.8
744,T001081,CR29  ,2019JJ00,702.2
745,T001081,CR29  ,2020JJ00,690.5
746,T001081,CR29  ,2021JJ00,714.0
747,T001081,CR29  ,2022JJ00,731.2
748,T001081,CR29  ,2023JJ00,735.0
749,T001081,CR29  ,2024JJ00,744.3
750,T001081,CR30  ,2010JJ00,174.6
751,T001081,CR30  ,2011JJ00,177.8
752,T001081,CR30  ,2012JJ00,175.6
753,T001081,CR30  ,2013JJ00,170.6
754,T001081,CR30  ,2014JJ00,170.7
755,T001081,CR30  ,2015JJ00,173.4
756,T001081,CR30  ,2016JJ00,178.5
757,T001081,CR30  ,2017JJ00,181.6
758,T001081,CR30  ,2018JJ00,187.1
759,T001081,CR30  ,2019JJ00,177.6
760,T001081,CR30  ,2020JJ00,174.9
761,T001081,CR30  ,2021JJ00,182.1
762,T001081,CR30  ,2022JJ00,188.7
763,T001081,CR30  ,2023JJ00,191.0
764,T001081,CR30  ,2024JJ00,189.3
765,T001081,CR31  ,2010JJ00,43.2
766,T001081,CR31  ,2011JJ00,43.5
767,T001081,CR31  ,2012JJ00,42.7
768,T001081,CR31  ,2013JJ00,41.1
769,T001081,CR31  ,2014JJ00,40.7
770,T001081,CR31  ,2015JJ00,40.8
771,T001081,CR31  ,2016JJ00,40.7
772,T001081,CR31  ,2017JJ00,41.7
773,T001081,CR31  ,2018JJ00,42.8
774,T001081,CR31  ,2019JJ00,43.5
775,T001081,CR31  ,2020JJ00,42.0
776,T001081,CR31  ,2021JJ00,42.8
777,T001081,CR31  ,2022JJ00,44.2
778,T001081,CR31  ,2023JJ00,43.3
779,T001081,CR31  ,2024JJ00,43.6
780,T001081,CR32  ,2010JJ00,111.2
781,T001081,CR32  ,2011JJ00,112.4
782,T001081,CR32  ,2012JJ00,109.0
783,T001081,CR32  ,2013JJ00,105.8
784,T001081,CR32  ,2014JJ00,107.3
785,T001081,CR32  ,2015JJ00,107.8
786,T001081,CR32  ,2016JJ00,109.2
787,T001081,CR32  ,2017JJ00,111.2
788,T001081,CR32  ,2018JJ00,115.6
789,T001081,CR32  ,2019JJ00,116.6
790,T001081,CR32  ,2020JJ00,115.2
791,T001081,CR32  ,2021JJ00,119.1
792,T001081,CR32  ,2022JJ00,122.4
793,T001081,CR32  ,2023JJ00,124.5
794,T001081,CR32  ,2024JJ00,124.7
795,T001081,CR33  ,2010JJ00,293.7
796,T001081,CR33  ,2011JJ00,304.2
797,T001081,CR33  ,2012JJ00,294.2
798,T001081,CR33  ,2013JJ00,288.9
799,T001081,CR33  ,2014JJ00,290.6
800,T001081,CR33  ,2015JJ00,292.7
801,T001081,CR33  ,2016JJ00,296.7
802,T001081,CR33  ,2017JJ00,307.5
803,T001081,CR33  ,2018JJ00,313.4
804,T001081,CR33  ,2019JJ00,316.8
805,T001081,CR33  ,2020JJ00,305.7
806,T001081,CR33  ,2021JJ00,314.6
807,T001081,CR33  ,2022JJ00,320.4
808,T001081,CR33  ,2023JJ00,324.1
809,T001081,CR33  ,2024JJ00,327.9
810,T001081,CR34  ,2010JJ00,221.7
811,T001081,CR34  ,2011JJ00,216.5
812,T001081,CR34  ,2012JJ00,212.0
813,T001081,CR34  ,2013JJ00,208.2
814,T001081,CR34  ,2014JJ00,213.5
815,T001081,CR34  ,2015JJ00,219.5
816,T001081,CR34  ,2016JJ00,223.7
817,T001081,CR34  ,2017JJ00,232.8
818,T001081,CR34  ,2018JJ00,238.0
819,T001081,CR34  ,2019JJ00,247.5
820,T001081,CR34  ,2020JJ00,240.7
821,T001081,CR34  ,2021JJ00,253.6
822,T001081,CR34  ,2022JJ00,258.1
823,T001081,CR34  ,2023JJ00,254.8
824,T001081,CR34  ,2024JJ00,254.1
825,T001081,CR35  ,2010JJ00,314.7
826,T001081,CR35  ,2011JJ00,311.0
827,T001081,CR35  ,2012JJ00,312.0
828,T001081,CR35  ,2013JJ00,306.3
829,T001081,CR35  ,2014JJ00,301.1
830,T001081,CR35  ,2015JJ00,305.7
831,T001081,CR35  ,2016JJ00,309.7
832,T001081,CR35  ,2017JJ00,318.0
833,T001081,CR35  ,2018JJ00,326.9
834,T001081,CR35  ,2019JJ00,333.7
835,T001081,CR35  ,2020JJ00,327.6
836,T001081,CR35  ,2021JJ00,335.8
837,T001081,CR35  ,2022JJ00,346.9
838,T001081,CR35  ,2023JJ00,351.4
839,T001081,CR35  ,2024JJ00,354.5
840,T001081,CR36  ,2010JJ00,384.9
841,T001081,CR36  ,2011JJ00,390.4
842,T001081,CR36  ,2012JJ00,386.3
843,T001081,CR36  ,2013JJ00,381.2
844,T001081,CR36  ,2014JJ00,385.3
845,T001081,CR36  ,2015JJ00,393.4
846,T001081,CR36  ,2016JJ00,406.2
847,T001081,CR36  ,2017JJ00,418.2
848,T001081,CR36  ,2018JJ00,424.5
849,T001081,CR36  ,2019JJ00,431.5
850,T001081,CR36  ,2020JJ00,419.2
851,T001081,CR36  ,2021JJ00,436.0
852,T001081,CR36  ,2022JJ00,448.5
853,T001081,CR36  ,2023JJ00,456.9
854,T001081,CR36  ,2024JJ00,455.8
855,T001081,CR37  ,2010JJ00,136.1
856,T001081,CR37  ,2011JJ00,138.5
857,T001081,CR37  ,2012JJ00,137.8
858,T001081,CR37  ,2013JJ00,137.7
859,T001081,CR37  ,2014JJ00,139.0
860,T001081,CR37  ,2015JJ00,142.4
861,T001081,CR37  ,2016JJ00,145.7
862,T001081,CR37  ,2017JJ00,151.3
863,T001081,CR37  ,2018JJ00,155.8
864,T001081,CR37  ,2019JJ00,149.1
865,T001081,CR37  ,2020JJ00,144.8
866,T001081,CR37  ,2021JJ00,150.4
867,T001081,CR37  ,2022JJ00,155.5
868,T001081,CR37  ,2023JJ00,153.2
869,T001081,CR37  ,2024JJ00,153.2
870,T001081,CR38  ,2010JJ00,101.0
871,T001081,CR38  ,2011JJ00,101.8
872,T001081,CR38  ,2012JJ00,98.8
873,T001081,CR38  ,2013JJ00,96.9
874,T001081,CR38  ,2014JJ00,97.4
875,T001081,CR38  ,2015JJ00,96.3
876,T001081,CR38  ,2016JJ00,97.8
877,T001081,CR38  ,2017JJ00,103.8
878,T001081,CR38  ,2018JJ00,105.8
879,T001081,CR38  ,2019JJ00,107.0
880,T001081,CR38  ,2020JJ00,104.0
881,T001081,CR38  ,2021JJ00,102.5
882,T001081,CR38  ,2022JJ00,104.6
883,T001081,CR38  ,2023JJ00,106.0
884,T001081,CR38  ,2024JJ00,105.8
885,T001081,CR39  ,2010JJ00,261.3
886,T001081,CR39  ,2011JJ00,262.3
887,T001081,CR39  ,2012JJ00,254.8
888,T001081,CR39  ,2013JJ00,248.4
889,T001081,CR39  ,2014JJ00,250.0
890,T001081,CR39  ,2015JJ00,252.0
891,T001081,CR39  ,2016JJ00,257.7
892,T001081,CR39  ,2017JJ00,262.5
893,T001081,CR39  ,2018JJ00,265.1
894,T001081,CR39  ,2019JJ00,266.0
895,T001081,CR39  ,2020JJ00,260.9
896,T001081,CR39  ,2021JJ00,269.5
897,T001081,CR39  ,2022JJ00,271.8
898,T001081,CR39  ,2023JJ00,271.1
899,T001081,CR39  ,2024JJ00,268.1
900,T001081,CR40  ,2010JJ00,152.6
901,T001081,CR40  ,2011JJ00,153.3
902,T001081,CR40  ,2012JJ00,150.4
903,T001081,CR40  ,2013JJ00,141.6
904,T001081,CR40  ,2014JJ00,141.9
905,T001081,CR40  ,2015JJ00,143.1
906,T001081,CR40  ,2016JJ00,144.2
907,T001081,CR40  ,2017JJ00,149.6
908,T001081,CR40  ,2018JJ00,157.1
909,T001081,CR40  ,2019JJ00,161.0
