country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,KZ,7522,9316,0.005025125628140704,0
FR,LZ,4418,8425,0.005025125628140704,0
FR,LZ,61,9308,0.005025125628140704,0
FR,LZ,7512,7525,0.005025125628140704,0
FR,MN,2810,5216,0.005025125628140704,0
FR,MN,5318,7623,0.005025125628140704,0
FR,OQ,2713,4415,0.005025125628140704,0
FR,RU,5207,9306,0.005025125628140704,0
FR,MN,7522,7601,0.005025125628140704,0
FR,GI,5202,7512,0.005025125628140704,0
FR,BE,2707,3210,0.005025125628140704,0
FR,FZ,4422,7510,0.005025125628140704,0
FR,LZ,2707,9315,0.005025125628140704,0
FR,KZ,4422,9315,0.005025125628140704,0
FR,OQ,3216,3218,0.005025125628140704,0
FR,FZ,5306,5315,0.005025125628140704,0
FR,FZ,4405,5319,0.005025125628140704,0
FR,GI,2809,7617,0.005025125628140704,0
FR,KZ,4406,7618,0.005025125628140704,0
FR,MN,1106,1109,0.005025125628140704,0
FR,BE,1113,8428,0.005025125628140704,0
FR,LZ,3222,5305,0.005025125628140704,0
FR,RU,2814,2816,0.005025125628140704,0
FR,MN,3207,7625,0.005025125628140704,0
FR,FZ,2701,9314,0.005025125628140704,0
FR,GI,2804,7618,0.005025125628140704,0
FR,FZ,1109,1112,0.005025125628140704,0
FR,BE,2803,5211,0.005025125628140704,0
FR,JZ,2408,8401,0.005025125628140704,0
FR,JZ,5309,7618,0.005025125628140704,0
FR,FZ,1115,2808,0.005025125628140704,0
FR,KZ,4412,60,0.005025125628140704,0
FR,OQ,2807,3213,0.005025125628140704,0
FR,FZ,7524,8422,0.005025125628140704,0
FR,BE,4411,8405,0.005025125628140704,0
FR,FZ,2718,3208,0.005025125628140704,0
FR,GI,2402,2707,0.005025125628140704,0
FR,LZ,4404,5211,0.005025125628140704,0
FR,FZ,2711,8414,0.005025125628140704,0
FR,GI,2714,5207,0.005025125628140704,0
FR,MN,1115,9311,0.005025125628140704,0
