relation_family,decision_year,source_sector,target_sector,source_label,target_label,weight,p_value,n_zones,bh_rejected,sign_stability,r2_stable
precedence_intra,2021,KZ,GI,Finance and insurance,"Trade, transport, hospitality",0.04327,0.47195674,280,False,,
precedence_intra,2021,KZ,JZ,Finance and insurance,Information and communication,0.027645,0.64595144,280,False,,
precedence_intra,2021,KZ,LZ,Finance and insurance,Real estate,0.013716,0.81973366,280,False,,
precedence_intra,2021,KZ,MN,Finance and insurance,Professional and administrative services,-0.001732,0.97704268,280,False,,
precedence_intra,2021,KZ,OQ,Finance and insurance,"Public administration, education, health",-0.062481,0.29863417,280,False,,
precedence_intra,2021,KZ,RU,Finance and insurance,Other services,0.027995,0.64178083,280,False,,
precedence_intra,2021,LZ,BE,Real estate,Industry,0.049541,0.41010058,280,False,,
precedence_intra,2021,LZ,FZ,Real estate,Construction,0.006044,0.92002248,280,False,,
precedence_intra,2021,LZ,GI,Real estate,"Trade, transport, hospitality",-0.002754,0.96350289,280,False,,
precedence_intra,2021,LZ,JZ,Real estate,Information and communication,0.067265,0.26306381,280,False,,
precedence_intra,2021,LZ,KZ,Real estate,Finance and insurance,0.042725,0.4775585,280,False,,
precedence_intra,2021,LZ,MN,Real estate,Professional and administrative services,-0.02512,0.67637071,280,False,,
precedence_intra,2021,LZ,OQ,Real estate,"Public administration, education, health",-0.079941,0.18321373,280,False,,
precedence_intra,2021,LZ,RU,Real estate,Other services,0.007498,0.90086294,280,False,,
precedence_intra,2021,MN,BE,Professional and administrative services,Industry,0.033813,0.5741426,280,False,,
precedence_intra,2021,MN,FZ,Professional and administrative services,Construction,-0.00642,0.91505464,280,False,,
precedence_intra,2021,MN,GI,Professional and administrative services,"Trade, transport, hospitality",-0.091756,0.12634655,280,False,,
precedence_intra,2021,MN,JZ,Professional and administrative services,Information and communication,-0.013446,0.82322525,280,False,,
precedence_intra,2021,MN,KZ,Professional and administrative services,Finance and insurance,-0.051729,0.38970598,280,False,,
precedence_intra,2021,MN,LZ,Professional and administrative services,Real estate,0.045998,0.44443804,280,False,,
precedence_intra,2021,MN,OQ,Professional and administrative services,"Public administration, education, health",-0.101787,0.08971616,280,False,,
precedence_intra,2021,MN,RU,Professional and administrative services,Other services,-0.006123,0.91897136,280,False,,
precedence_intra,2021,OQ,BE,"Public administration, education, health",Industry,0.01733,0.77339565,280,False,,
precedence_intra,2021,OQ,FZ,"Public administration, education, health",Construction,0.107282,0.07358567,280,False,,
precedence_intra,2021,OQ,GI,"Public administration, education, health","Trade, transport, hospitality",0.06848,0.25451399,280,False,,
precedence_intra,2021,OQ,JZ,"Public administration, education, health",Information and communication,-0.070392,0.24144607,280,False,,
precedence_intra,2021,OQ,KZ,"Public administration, education, health",Finance and insurance,-0.058894,0.32730916,280,False,,
precedence_intra,2021,OQ,LZ,"Public administration, education, health",Real estate,0.010326,0.86378594,280,False,,
precedence_intra,2021,OQ,MN,"Public administration, education, health",Professional and administrative services,0.171794,0.00394366,280,False,,
precedence_intra,2021,OQ,RU,"Public administration, education, health",Other services,0.067205,0.26348717,280,False,,
