ze2020,ze2020_label,year,sector_code,sector_label,sector_establishment_creations,total_establishment_creations,sector_share,sector_rank_in_ze_year,mask_sector_available
0053,Avignon,2016,OQ,"Public administration, education and health",435.0,3432,0.12674825174825174,4,1
0053,Avignon,2016,RU,Arts and other services,350.0,3432,0.10198135198135198,5,1
0053,Avignon,2017,BE,Industry and energy,184.0,3615,0.05089903181189488,6,1
0053,Avignon,2017,FZ,Construction,453.0,3615,0.12531120331950207,3,1
0053,Avignon,2017,GI,"Trade, transport and hospitality",1201.0,3615,0.3322268326417704,1,1
0053,Avignon,2017,JZ,Information and communication,89.0,3615,0.02461964038727524,9,1
0053,Avignon,2017,KZ,Financial and insurance activities,124.0,3615,0.0343015214384509,7,1
0053,Avignon,2017,LZ,Real estate activities,97.0,3615,0.026832641770401105,8,1
0053,Avignon,2017,MN,Professional and administrative services,643.0,3615,0.17786998616874136,2,1
0053,Avignon,2017,OQ,"Public administration, education and health",428.0,3615,0.11839557399723374,4,1
0053,Avignon,2017,RU,Arts and other services,396.0,3615,0.10954356846473029,5,1
0053,Avignon,2018,BE,Industry and energy,163.0,4169,0.03909810506116575,6,1
0053,Avignon,2018,FZ,Construction,571.0,4169,0.13696330055169106,3,1
0053,Avignon,2018,GI,"Trade, transport and hospitality",1398.0,4169,0.3353322139601823,1,1
0053,Avignon,2018,JZ,Information and communication,118.0,4169,0.028304149676181337,8,1
0053,Avignon,2018,KZ,Financial and insurance activities,125.0,4169,0.029983209402734468,7,1
0053,Avignon,2018,LZ,Real estate activities,107.0,4169,0.025665627248740705,9,1
0053,Avignon,2018,MN,Professional and administrative services,825.0,4169,0.19788918205804748,2,1
0053,Avignon,2018,OQ,"Public administration, education and health",448.0,4169,0.10745982249940034,4,1
0053,Avignon,2018,RU,Arts and other services,414.0,4169,0.09930438954185657,5,1
0053,Avignon,2019,BE,Industry and energy,282.0,4765,0.05918153200419727,6,1
0053,Avignon,2019,FZ,Construction,647.0,4765,0.13578174186778594,3,1
0053,Avignon,2019,GI,"Trade, transport and hospitality",1580.0,4765,0.3315844700944386,1,1
0053,Avignon,2019,JZ,Information and communication,132.0,4765,0.02770199370409234,8,1
0053,Avignon,2019,KZ,Financial and insurance activities,128.0,4765,0.026862539349422874,9,1
0053,Avignon,2019,LZ,Real estate activities,158.0,4765,0.03315844700944386,7,1
0053,Avignon,2019,MN,Professional and administrative services,915.0,4765,0.19202518363064008,2,1
0053,Avignon,2019,OQ,"Public administration, education and health",424.0,4765,0.08898216159496328,5,1
